|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|count_word_text|count_word_sent|count_key_text
0|международный|международном|международном|ADJF|2|1|2||4|2.0|4
5|армейский|армейских|Армейских|ADJF|7|1|7|TITL|1|1.0|1
6|международный|международных|международных|ADJF|8|1|8||4|2.0|4
8|2019|2019|2019|NUMB|10|1|10|NUMB|1|1.0|1
9|мат|мастера автобронетанковой техники|Мастера автобронетанковой техники|WIQM|11|1|11|WIQM|2|1.0|2
11|5 команд|5 команд|5 команд|NUSR|13|1|13|NUSR|1|1.0|1
12|россия|россии|России|NOUN|15|1|15|SPEC|4|1.0|4
13|венесуэла|венесуэлы|Венесуэлы|NOUN|16|1|16|SPEC|2|1.0|2
14|египета|египета|Египета|TITL|17|1|17|TITL|1|1.0|1
15|китай|китая|Китая|NOUN|18|1|18|SPEC|2|1.0|2
16|лаос|лаоса|Лаоса|NOUN|19|1|19|SPEC|2|1.0|2
17|2015 года|2015 года|2015 года|NUSR|21|2|2|NUSR|1|1.0|1
21|команда|команда|команда|NOUN|25|2|6||8|1.0|8
22|минобороны|минобороны|Минобороны|NOUN|26|2|7|TITL|1|1.0|1
23|рф|рф|РФ|NOUN|27|2|8|UPPR|2|1.0|2
28|видео|видео|видео|ABVR|34|3|7|ABVR|1|1.0|1
38|военный|военную|военную|ADJF|47|3|20||5|1.0|5
39|техника|технику|технику|NOUN|48|3|21|SPEC|2|1.0|2
44|воронежский|воронежской|Воронежской|ADJF|55|3|28|TITL|2|1.0|2
48|команда|команды|команды|NOUN|62|4|6||8|1.0|8
51|автомобиль|автомобилях|автомобилях|NOUN|66|4|10|SPEC|4|2.0|4
55|россия|россии|России|NOUN|71|4|15|SPEC|4|1.0|4
57|автомобиль|автомобиле|автомобиле|NOUN|73|4|17|SPEC|4|2.0|4
58|камаз-43501|камаз-43501|КамАЗ-43501|DSNU|74|4|18|DSNU|1|1.0|1
60|тягач|тягаче|тягаче|NOUN|76|4|20|SPEC|1|1.0|1
61|камаз-65225|камаз-65225|КамАЗ-65225|DSNU|77|4|21|DSNU|1|1.0|1
63|уаз-3163|уаз-3163|УАЗ-3163|DSNU|80|4|24|DSNU|1|1.0|1
64|патриот|патриот|Патриот|NOUN|81|4|25|CLIV|1|1.0|1
67|команда|команда|команда|NOUN|85|5|4||8|1.0|8
68|ноак|ноак|НОАК|NOUN|86|5|5|UPPR|1|1.0|1
73|автомобиль|автомобили|автомобили|NOUN|93|5|12|SPEC|4|1.0|4
76|российский|российской|Российской|ADJF|97|5|16|TITL|1|1.0|1
82|техника|технике|технике|NOUN|106|6|8|SPEC|2|1.0|2
83|команда|команда|команда|NOUN|108|7|2||8|3.0|8
84|китай|китая|Китая|NOUN|109|7|3|SPEC|2|1.0|2
87|команда|командой|командой|NOUN|112|7|6||8|3.0|8
92|военный|военных|военных|NOUN|117|7|11||5|1.0|5
96|лаос|лаоса|Лаоса|NOUN|122|7|16|SPEC|2|1.0|2
101|венесуэла|венесуэлы|Венесуэлы|NOUN|128|7|22|SPEC|2|1.0|2
106|египет|египта|Египта|NOUN|135|7|29|SPEC|1|1.0|1
109|команда|команда|команда|NOUN|139|7|33||8|3.0|8
110|россия|россии|России|NOUN|141|7|35|SPEC|4|1.0|4
111|команда|команду|команду|NOUN|143|8|2||8|1.0|8
112|рф|рф|РФ|NOUN|144|8|3|UPPR|2|1.0|2
116|западный|западного|Западного|ADJF|148|8|7|TITL|1|1.0|1
117|военный|военного|военного|NOUN|149|8|8||5|1.0|5
125|мр|минобороны россии|Минобороны России|NAME|158|8|17|NAME|1|1.0|1
131|9000 военных|9000 военных|9000 военных|NUSR|168|9|5|NUSR|1|1.0|1
133|военный|военных|военных|NOUN|170|9|7||5|1.0|5
142|команда|команду|команду|NOUN|182|9|19||8|1.0|8
143|россия|россии|России|NOUN|183|9|20|SPEC|4|1.0|4
144|международный|международном|международном|ADJF|185|9|22||4|1.0|4
149|автомобиль|автомобилей|автомобилей|NOUN|191|10|5|SPEC|4|1.0|4
152|10 километров|10 километров|10 километров|NUSR|195|10|9|NUSR|1|1.0|1
155|восьмерка|восьмерка|восьмерка|NOUN|199|10|13|WIQM|1|1.0|1
156|ппоп|проезд по ограниченным проездам|проезд по ограниченным проездам|WIQM|200|10|14|WIQM|1|1.0|1
157|косогор|косогор|косогор|NOUN|201|10|15|WIQM|1|1.0|1
158|холм|холм|холм|NOUN|202|10|16|WIQM|1|1.0|1
160|болото|болото|болото|NOUN|204|10|18|WIQM|1|1.0|1
162|серпантин|серпантин|серпантин|NOUN|206|10|20|WIQM|1|1.0|1
163|стерня|стерня|стерня|NOUN|207|10|21|WIQM|1|1.0|1
164|пахота|пахота|пахота|NOUN|208|10|22|WIQM|1|1.0|1
166|колея|колея|колея|NOUN|210|10|24|WIQM|1|1.0|1
167|вп|водная преграда|водная преграда|WIQM|211|10|25|WIQM|1|1.0|1
172|ак|ак|АК|ABVR|218|10|32|SPEC|1|1.0|1
174|военный|военных|военных|NOUN|220|11|2||5|1.0|5
177|международный|международного|международного|ADJF|224|11|6||4|1.0|4
179|мат|мастера автобронетанковой техники|Мастера автобронетанковой техники|WIQM|226|11|8|WIQM|2|1.0|2
181|14 и 15 августа|14 и 15 августа|14 и 15 августа|NUSR|228|11|10|NUSR|1|1.0|1
182|воронежский|воронежской|Воронежской|ADJF|230|11|12|TITL|2|1.0|2
