|word|tword|pos|idsent|sentpos
31|банками-кредиторами|банками-кредиторами|47|5|20
35|производственно-технологическое|производственно-технологическое|54|5|27
103|властно-клановыми|властно-клановыми|160|12|20
215|производственно-технологических|производственно-технологических|308|21|18
327|госуправления|госуправления|455|31|6
747|научно-технологического|научно-технологического|1023|63|9
775|забалтывания|забалтывания|1070|66|11
788|нацпроекты|нацпроекты|1089|68|13
852|государственно-частное|государственно-частное|1181|72|15
987|научно-технологических|научно-технологических|1390|80|30
1068|производственно-технологического|производственно-технологического|1508|86|12
1103|бизнес-стратегиям|бизнес-стратегиям|1550|89|8
1122|бизнес-процесса|бизнес-процесса|1577|90|10
