|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|count_word_text|count_word_sent
0|совет|совет|Совет|NOUN|1|1|1||10|1.0
1|авиастроение|авиастроению|авиастроению|NOUN|3|1|3||7|1.0
2|коллегия|коллегии|коллегии|NOUN|4|1|4||6|1.0
3|вп|военно-промышленной|Военно-промышленной|TITL|5|1|5|TITL|1|1.0
4|комиссия|комиссии|комиссии|NOUN|6|1|6||1|1.0
5|рф|российской федерации|Российской Федерации|NAME|7|1|7|NAME|2|1.0
6|вр|впк рф|ВПК РФ|ABVR|8|1|8|ABVR|12|1.0
7|семь|семь|семь|NUMR|10|1|10||1|1.0
8|месяц|месяцев|месяцев|NOUN|11|1|11||1|1.0
9|2019 г|2019 г|2019 г|NUSR|12|1|12|NUSR|3|1.0
10|провел|провел|провел|VERB|13|1|13||1|1.0
11|четыре|четыре|четыре|NUMR|14|1|14||1|1.0
12|заседание|заседания|заседания|NOUN|15|1|15||9|1.0
13|обсуждаюсь|обсуждались|обсуждались|VERB|18|1|18||1|1.0
14|текущий|текущие|текущие|ADJF|19|1|19||1|1.0
15|проблема|проблемы|проблемы|NOUN|20|1|20||1|1.0
16|перспективный|перспективные|перспективные|ADJF|22|1|22||4|1.0
17|вопрос|вопросы|вопросы|NOUN|23|1|23||6|1.0
18|работа|работы|работы|NOUN|24|1|24||10|1.0
19|отечественный|отечественной|отечественной|ADJF|25|1|25||7|1.0
20|авиастроительный|авиастроительной|авиастроительной|ADJF|26|1|26||1|1.0
21|отрасль|отрасли|отрасли|NOUN|27|1|27||4|1.0
22|мае-июле|мае-июле|мае-июле|UNKN|29|2|2|UNKN|1|1.0
23|2019 г|2019 г|2019 г|NUSR|30|2|3|NUSR|3|1.0
24|заседание|заседания|заседания|NOUN|31|2|4||9|1.0
25|совет|совета|Совета|NOUN|32|2|5|TITL|10|1.0
26|проходил|проходили|проходили|VERB|33|2|6||1|1.0
27|ведущий|ведущих|ведущих|ADJF|35|2|8||1|1.0
28|предприятие|предприятиях|предприятиях|NOUN|36|2|9|SPEC|7|1.0
29|отрасль|отрасли|отрасли|NOUN|37|2|10||4|1.0
30|деятельность|деятельность|деятельность|NOUN|39|2|12||1|1.0
31|связан|связана|связана|PRTS|41|2|14||1|1.0
32|тематика|тематикой|тематикой|NOUN|43|2|16||2|1.0
33|обсуждавшийся|обсуждавшихся|обсуждавшихся|PRTF|44|2|17||2|1.0
34|вопрос|вопросов|вопросов|NOUN|45|2|18||6|1.0
35|перспектива|перспективы|Перспективы|NOUN|46|3|1||4|1.0
36|развитие|развития|развития|NOUN|47|3|2||11|1.0
37|рынок|рынка|рынка|NOUN|48|3|3||7|1.0
38|вертолетный|вертолетной|вертолетной|ADJF|49|3|4||4|1.0
39|техника|техники|техники|NOUN|50|3|5|SPEC|11|1.0
40|рассматриваюсь|рассматривались|рассматривались|VERB|51|3|6||2|1.0
41|заседание|заседании|заседании|NOUN|53|3|8||9|1.0
42|совет|совета|Совета|NOUN|54|3|9|TITL|10|1.0
43|офис|офисе|офисе|NOUN|56|3|11||2|1.0
44|ао|ао|АО|ABVR|57|3|12|SPEC|14|1.0
45|вр|вертолеты россии|Вертолеты России|CLIV|58|3|13|CLIV|12|1.0
46|23 мая 2019 г|23 мая 2019 г|23 мая 2019 г|NUSR|59|3|14|NUSR|1|1.0
47|основной|основной|Основной|ADJF|60|4|1||1|1.0
48|докладчик|докладчик|докладчик|NOUN|61|4|2||2|1.0
49|директор|директор|директор|NOUN|62|4|3||11|1.0
50|маркетинг|маркетингу|маркетингу|NOUN|64|4|5||2|1.0
51|развитие|развитию|развитию|NOUN|66|4|7||11|1.0
52|бизнес|бизнеса|бизнеса|NOUN|67|4|8||2|1.0
53|ао|ао|АО|ABVR|68|4|9|SPEC|14|1.0
54|вр|вертолеты россии|Вертолеты России|CLIV|69|4|10|CLIV|12|1.0
55|оял|о.я. ландин|О.Я. Ландин|FLNM|70|4|11|FLNM|2|1.0
56|представил|представил|представил|VERB|71|4|12||1|1.0
57|анализ|анализ|анализ|NOUN|72|4|13||5|1.0
58|прогноз|прогноз|прогноз|NOUN|74|4|15||2|1.0
59|поставка|поставок|поставок|NOUN|75|4|16||2|1.0
