|word|tword|pos|idsent|sentpos
4|многочисленым|многочисленым|28|2|4
40|побортно|побортно|93|6|5
101|побортно|побортно|242|12|5
128|спарки|спарки|329|20|7
134|страмбовать|страмбовать|346|22|2
215|огого-го|огого-го|561|33|24
252|торсионы|торсионы|681|38|4
256|броневанна|Броневанна|695|40|1
278|ништяки|ништяки|788|43|22
297|заморачиваться|заморачиваться|857|48|5
345|авиаптуров|авиаПТУРов|958|51|34
357|бронекапуслы|бронекапуслы|986|53|12
385|уё|уЁ|1058|57|27
429|инкаминг|Инкаминг|1171|62|1
442|броневанны|броневанны|1227|64|21
451|дешманых|дешманых|1251|64|45
470|чтоли|чтоли|1317|65|51
473|маркобесы|маркобесы|1331|66|7
483|заначена|заначена|1363|69|9
492|подудлинить|подудлинить|1379|70|15
534|броневанны|броневанны|1466|76|2
540|броневанна|броневанна|1475|77|8
546|бронестали|бронестали|1490|78|7
588|броневанне|броневанне|1611|90|10
628|броневанна|Броневанна|1718|97|1
631|броневанна|броневанна|1735|98|2
636|антиптурином|антиптурином|1747|100|2
651|антиптурина|антиптурина|1786|101|2
656|броневанна|броневанна|1809|102|6
694|потмучто|потмучто|1932|109|14
703|ниодной|ниодной|1945|110|6
707|применяеться|применяеться|1952|110|13
749|перисколп|перисколп|2042|115|22
760|пруфы|пруфы|2076|117|19
771|напрмер|напрмер|2100|117|43
791|смущёно|смущёно|2156|117|99
808|бабаху|бабаху|2185|119|4
846|ивсякие|ивсякие|2290|122|11
860|облегчёными|облегчёными|2318|123|9
861|актвино-реактвиными|актвино-реактвиными|2319|123|10
893|блогзаписи|блогзаписи|2407|127|5
909|фекальник|фекальник|2465|131|2
919|быстровоздвигаемое|быстровоздвигаемое|2484|132|13
924|полобъёма|полобъёма|2507|133|22
970|бронеколпаки|бронеколпаки|2619|139|12
971|газоводы|газоводы|2621|139|14
976|избежение|избежение|2633|139|26
996|гомогенки|гомогенки|2673|139|66
1015|присвободжить|присвободжить|2725|141|36
1024|блогзаписе|блогзаписе|2745|143|8
1029|разрисую-с|разрисую-с|2769|145|5
1031|ляминия|ляминия|2774|146|4
1073|вылазят|вылазят|2864|148|33
1078|окажуться|окажуться|2874|148|43
1084|мехвода|мехвода|2888|148|57
1085|торсионы|торсионы|2891|148|60
1087|натакой|натакой|2896|148|65
1097|поколдавать|поколдавать|2926|149|21
1111|по-бортно|по-бортно|2964|150|27
1115|проваливаються|проваливаються|2979|151|2
1122|достпуного|достпуного|2992|151|15
1133|броневанну|броневанну|3014|152|11
1136|гомогенки|гомогенки|3018|152|15
1152|авиаптур|авиаптур|3057|154|14
1162|гомогенки|гомогенки|3081|155|12
1170|получаеться|получаеться|3098|155|29
594|стрелковкой|стрелковкой|1544|86|26
738|тонника|тонника|1811|102|8
