|values
keyscount|504.0
Ukeyscount|135.0
Skeyscount|152.0
USkeyscount|42.0
Nkeyscount|265.0
UNkeyscount|39.0
partlangkeys|['NOUN', 'ABVR', 'UPPR', 'DSNU', 'TITL', 'NAME', 'ADJF', 'DSNL', 'VERB']
typeskeys|[nan, 'SPEC', 'ABVR', 'UPPR', 'DSNU', 'TITL', 'NAME', 'CLIV', 'DSNL', 'WIQM']
inwhatsents|[1, 2, 4, 5, 6, 7, 10, 11, 12, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 33, 34, 35, 36, 38, 41, 42, 43, 44, 45, 46, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 60, 61, 63, 64, 65, 66, 68, 69, 70, 71, 73, 74, 75, 76, 77, 79, 80, 81, 82, 84, 85, 86, 87, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 112, 114, 115, 116, 117, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 132, 133, 135, 136, 138, 139, 140, 141, 142, 143, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156]
minkeyssent|1.0
maxkeyssent|21.0
meankeyssent|3.88
minrepeatkey|1.0
maxrepeatkeys|28.0
meanrepeatkey|9.25
allcolumnskey|['lemm', 'word', 'tword', 'partlang', 'pos', 'idsent', 'sentpos', 'tkey', 'numexpress', 'rdeco', 'count_word_sent', 'count_key_text']
keys-%|18.45
Ukeys-%|4.94
KUkeys-%|26.79
Skeys-%|5.57
Skeysofkeys-%|30.16
USkeysofUkeys-%|31.11
Nkeys-%|9.7
Nkeysofkeys-%|52.58
UNkeysofUkeys-%|28.89
