|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|numexpress|rdeco|yotoe|case|plural|gender|animacy|cattimes|transitiv|sectransitiv|aspect|pers|catcomp|catcollat|catmood|catplural|refn|secrefn|pw|f_text|f_sent
55|каток танка|каток танк|катки танка|2GRM|53.0|4.0|11.0|nPNC|139.0|||||||||||||||||||5|1.0
67|гусеница|гусеницу|гусеницу|NOUN|65.0|4.0|23.0|SPEC||||accs|sing|femn|anim|||||||||||||5|1.0
84|б3ш|бмп-3 шире|БМП-3 шире|ABVR|82.0|5.0|9.0|ABVR|3.0|||||||||||||||||||1|1.0
90|давление грунта|давление грунт|давление грунт|2GRM|86.0|5.0|13.0|nPNC|144.0|||||||||||||||||||4|1.0
114|крыша дна|крыша дно|крыша дно|2GRM|108.0|7.0|10.0|nPNC|148.0|||||||||||||||||||3|1.0
122|броня борта|броня борт|брони борта|2GRM|114.0|7.0|16.0|nPNC|151.0|||||||||||||||||||4|2.0
125|броня борта|борт броня|борта брони|2GRM|116.0|7.0|18.0|nPNC|152.0|||||||||||||||||||4|2.0
133|броня массы|броня масса|брони массе|2GRM|122.0|7.0|24.0|nPNC|155.0|||||||||||||||||||3|1.0
148|свшп|свшп|СВШП|NOUN|136.0|7.0|38.0|ABVR|||||sing||inan|||||||||Fixd|Abbr|||3|1.0
217|каток танка|каток танк|катки танка|2GRM|203.0|10.0|11.0|nPNC|140.0|||||||||||||||||||5|1.0
229|гусеница|гусеницу|гусеницу|NOUN|215.0|10.0|23.0|SPEC||||accs|sing|femn|anim|||||||||||||5|1.0
252|давление грунта|давление грунт|давление грунт|2GRM|236.0|11.0|13.0|nPNC|145.0|||||||||||||||||||4|1.0
279|бмп-3|бмп-3|БМП-3|DSNU|261.0|15.0|2.0|DSNU||||||||||||||||||||4|1.0
313|каток танка|танк каток|танка каток|2GRM|291.0|18.0|2.0|nPNC|141.0|||||||||||||||||||5|1.0
315|каток ширины|каток ширина|каток шириной|2GRM|292.0|18.0|3.0|nPNC|158.0|||||||||||||||||||3|1.0
323|давление грунта|давление грунт|давления грунт|2GRM|299.0|18.0|10.0|nPNC|146.0|||||||||||||||||||4|1.0
354|колесо диаметра|колесо диаметр|колесо Диаметр|2GRM|326.0|20.0|8.0|nPNC|161.0|||||||||||||||||||3|1.0
361|метр ширины|метр ширина|метра ширина|2GRM|331.0|21.0|4.0|nPNC|164.0|||||||||||||||||||4|1.0
374|полная ширина|полный ширина|полная ширина|2GRM|342.0|22.0|4.0|nPNC|168.0|||||||||||||||||||3|1.0
376|метр ширины|ширина метр|ширина метра|2GRM|343.0|22.0|5.0|nPNC|165.0|||||||||||||||||||4|1.0
405|колесо диаметра|диаметр колесо|диаметр колеса|2GRM|369.0|23.0|20.0|nPNC|162.0|||||||||||||||||||3|1.0
433|каток ширины|ширина каток|ширине катка|2GRM|395.0|24.0|12.0|nPNC|159.0|||||||||||||||||||3|2.0
435|каток ширины|каток ширина|катка ширины|2GRM|396.0|24.0|13.0|nPNC|160.0|||||||||||||||||||3|2.0
439|шина катка|шина каток|шины каток|2GRM|399.0|24.0|16.0|nPNC|171.0|||||||||||||||||||4|1.0
454|каток танка|каток танк|катков танка|2GRM|411.0|26.0|2.0|nPNC|142.0|||||||||||||||||||5|1.0
487|каток танка|танк каток|танк катками|2GRM|442.0|28.0|9.0|nPNC|143.0|||||||||||||||||||5|1.0
528|давление грунта|давление грунт|давление грунт|2GRM|480.0|29.0|32.0|nPNC|147.0|||||||||||||||||||4|1.0
535|полная ширина|полный ширина|Полная ширина|2GRM|486.0|30.0|1.0|nPNC|169.0|||||||||||||||||||3|1.0
548|метр ширины|метр ширина|метра ширины|2GRM|497.0|30.0|12.0|nPNC|166.0|||||||||||||||||||4|1.0
556|т-образного|т-образного|Т-образного|NOUN|505.0|30.0|20.0|NAME|||||sing||anim||||||||||Name|||1|1.0
606|бтр|бтр|БТР|NOUN|552.0|34.0|6.0|SPEC||||nomn|sing|masc|inan||||||||||Abbr|||5|1.0
609|т-15|т-15|Т-15|DSNU|555.0|34.0|9.0|DSNU||||||||||||||||||||2|1.0
642|т-14|т-14|Т-14|DSNU|585.0|35.0|14.0|DSNU||||||||||||||||||||3|1.0
645|полная ширина|полный ширина|полной шириной|2GRM|587.0|35.0|16.0|nPNC|170.0|||||||||||||||||||3|1.0
647|метр ширины|ширина метр|шириной метра|2GRM|588.0|35.0|17.0|nPNC|167.0|||||||||||||||||||4|1.0
664|машина|машины|машины|NOUN|604.0|36.0|5.0|SPEC||||gent|sing|femn|inan|||||||||||||5|1.0
673|фальшборт|фальшборт|фальшборт|NOUN|612.0|36.0|13.0|||||nomn|sing|masc|inan|||||||||||||8|1.0
705|гусеница|гусеницы|гусеницы|NOUN|642.0|37.0|12.0|SPEC||||gent|sing|femn|inan|||||||||||||5|2.0
709|гусеница|гусеница|гусеница|NOUN|646.0|37.0|16.0|SPEC||||nomn|sing|femn|inan|||||||||||||5|2.0
769|броневанна|броневанна|Броневанна|NOUN|706.0|41.0|1.0|||||nomn|sing|femn|inan||||||||||||броне|9|1.0
775|тонна ходовая|тонна ходовой|тонн ходовой|2GRM|710.0|42.0|3.0|nPNC|175.0|||||||||||||||||||6|2.0
781|мто|мто|МТО|NOUN|716.0|42.0|9.0|SPEC|||||sing||anim||||||||||Name|||9|1.0
784|топливо|топливо|топливо|NOUN|719.0|42.0|12.0|SPEC||||nomn|sing|neut|inan|||||||||||||1|1.0
796|броня массы|броня масса|брони массе|2GRM|730.0|42.0|23.0|nPNC|156.0|||||||||||||||||||3|2.0
802|броня массы|масса броня|массе брони|2GRM|734.0|42.0|27.0|nPNC|157.0|||||||||||||||||||3|2.0
809|тонна ходовая|тонна ходовой|тонн ходовая|2GRM|739.0|42.0|32.0|nPNC|176.0|||||||||||||||||||6|2.0
813|тонна ходовая|ходовой тонна|ходовая тонн|2GRM|742.0|43.0|2.0|nPNC|177.0|||||||||||||||||||6|1.0
844|шина катка|шина каток|шины катков|2GRM|769.0|43.0|29.0|nPNC|172.0|||||||||||||||||||4|1.0
855|общее устройство|общее устройство|Общее Устройство|NAME|780.0|44.0|7.0|NAME|41.0|||||||||||||||||||1|1.0
859|техническое обслуживание|техническое обслуживание|Техническое Обслуживание|NAME|783.0|44.0|10.0|NAME|42.0|||||||||||||||||||1|1.0
