|values
keyscount|234.0
Ukeyscount|99.0
Skeyscount|99.0
USkeyscount|39.0
Nkeyscount|14.0
UNkeyscount|2.0
partlangkeys|['2GRM', 'NOUN', 'ABVR', 'DSNU', 'NAME', 'WIQM', 'DSNL']
typeskeys|['nPNC', 'SPEC', 'ABVR', 'DSNU', 'NAME', nan, 'TITL', 'WIQM', 'DSNL']
inwhatsents|[4.0, 5.0, 7.0, 10.0, 11.0, 15.0, 18.0, 20.0, 21.0, 22.0, 23.0, 24.0, 26.0, 28.0, 29.0, 30.0, 34.0, 35.0, 36.0, 37.0, 41.0, 42.0, 43.0, 44.0, 45.0, 49.0, 52.0, 53.0, 54.0, 56.0, 58.0, 59.0, 61.0, 62.0, 64.0, 65.0, 66.0, 67.0, 69.0, 70.0, 71.0, 74.0, 76.0, 77.0, 78.0, 82.0, 83.0, 85.0, 87.0, 88.0, 90.0, 91.0, 92.0, 93.0, 94.0, 95.0, 98.0, 99.0, 100.0, 101.0, 102.0, 103.0, 104.0, 106.0, 107.0, 108.0, 109.0, 110.0, 111.0, 113.0, 115.0, 116.0, 117.0, 118.0, 120.0, 121.0, 122.0, 123.0, 124.0, 125.0, 126.0, 128.0, 129.0, 130.0, 133.0, 134.0, 137.0, 139.0, 140.0, 141.0, 142.0, 143.0, 144.0, 147.0, 148.0, 149.0, 150.0, 151.0, 153.0, 154.0, 155.0, 156.0, 157.0]
minkeyssent|1.0
maxkeyssent|11.0
meankeyssent|2.27
minrepeatkey|1.0
maxrepeatkeys|12.0
meanrepeatkey|4.09
allcolumnskey|['lemm', 'word', 'tword', 'partlang', 'pos', 'idsent', 'sentpos', 'tkey', 'numexpress', 'rdeco', 'yotoe', 'case', 'plural', 'gender', 'animacy', 'cattimes', 'transitiv', 'sectransitiv', 'aspect', 'pers', 'catcomp', 'catcollat', 'catmood', 'catplural', 'refn', 'secrefn', 'pw', 'f_text', 'f_sent']
keys-%|8.38
Ukeys-%|3.55
KUkeys-%|42.31
Skeys-%|3.55
Skeysofkeys-%|42.31
USkeysofUkeys-%|39.39
Nkeys-%|0.5
Nkeysofkeys-%|5.98
UNkeysofUkeys-%|2.02
