|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|numexpress|rdeco|yotoe|case|plural|gender|animacy|cattimes|transitiv|sectransitiv|aspect|pers|catcomp|catcollat|catmood|catplural|refn|secrefn|pw|f_text|f_sent
0|весь|всё|Всё|ADJF|1.0|1.0|1.0|BADW||||nomn|sing|neut|||||||||||Apro|||24|1.0
1|достаточен|достаточно|достаточно|ADJS|2.0|1.0|2.0|BADW|||||sing|neut|||||||||||Qual|||1|1.0
2|кратко|кратко|кратко|ADVB|3.0|1.0|3.0|BADW||||||||||||||||||||2|1.0
3|,|,|,|PNCT|4.0|1.0|4.0|PNCT||||||||||||||||||||232|3.0
4|ибо|ибо|ибо|CONJ|5.0|1.0|5.0|BADW||||||||||||||||||||1|1.0
5|по|по|по|NOUN|6.0|1.0|6.0|BADW||||nomn|sing|neut|inan|||||||||Fixd|Abbr|||39|1.0
6|часть|частям|частям|NOUN|7.0|1.0|7.0|||||datv|plur|femn|inan|||||||||||||3|1.0
7|подробен|подробно|подробно|ADJS|8.0|1.0|8.0|BADW|||||sing|neut||||||||||||||1|1.0
8|рассматриваюсь|рассматривалась|рассматривалась|VERB|9.0|1.0|9.0||||||sing|femn||past|intr||impf||||indc|||||1|1.0
9|ранее|ранее|ранее|ADVB|10.0|1.0|10.0|BADW||||||||||||||||||||2|1.0
10|в|в|в|NOUN|11.0|1.0|11.0|BADW||||nomn|sing|masc|inan|||||||||Fixd|Abbr|||87|1.0
11|блог|блоге|блоге|NOUN|12.0|1.0|12.0||||||sing|masc|inan|||||||||||||6|1.0
12|,|,|,|PNCT|13.0|1.0|13.0|PNCT||||||||||||||||||||232|3.0
13|200-1500 просмотров|от 200 до 1500 просмотров|от 200 до 1500 просмотров|NUSR|14.0|1.0|14.0|NUSR|1.0|||||||||||||||||||1|1.0
14|от|от|от|PREP|14.0|1.0|14.0|BADW||1.0||||||||||||||||||19|1.0
15|200|200|200|NUMB|15.0|1.0|15.0|NUMB||1.0||||||||||||||||||3|1.0
16|до|до|до|PREP|16.0|1.0|16.0|BADW||1.0||||||||||||||||||12|1.0
17|1500|1500|1500|NUMB|17.0|1.0|17.0|NUMB||1.0||||||||||||||||||1|1.0
18|просмотр|просмотров|просмотров|NOUN|18.0|1.0|18.0|||1.0||gent|plur|masc|inan|||||||||||||1|1.0
19|на|на|на|INTJ|19.0|1.0|19.0|BADW||||||||||||||||||||65|1.0
20|сегодня|сегодня|сегодня|ADVB|20.0|1.0|20.0|BADW||||||||||||||||||||1|1.0
21|,|,|,|PNCT|21.0|1.0|21.0|PNCT||||||||||||||||||||232|3.0
22|без|без|без|PREP|22.0|1.0|22.0|BADW||||||||||||||||||||3|1.0
23|возражение|возражений|возражений|NOUN|23.0|1.0|23.0|||||gent|plur|neut|inan|||||||||||||1|1.0
24|.|.|.|PNCT|24.0|1.0|24.0|PNCT||||||||||||||||||||157|1.0
25|однако|однако|Однако|CONJ|25.0|2.0|1.0|BADW||||||||||||||||||||5|1.0
26|,|,|,|PNCT|26.0|2.0|2.0|PNCT||||||||||||||||||||232|1.0
27|по|по|по|NOUN|27.0|2.0|3.0|BADW||||nomn|sing|neut|inan|||||||||Fixd|Abbr|||39|1.0
28|многочисленный|многочисленным|многочисленым|ADJF|28.0|2.0|4.0|||||datv|plur||||||||||||Qual|||1|1.0
29|просьба|просьбам|просьбам|NOUN|29.0|2.0|5.0|||||datv|plur|femn|inan|||||||||||||1|1.0
30|трудящийся|трудящихся|трудящихся|ADJF|30.0|2.0|6.0|||||gent|plur|||||||||||||||1|1.0
31|поднял|подняли|подняли|VERB|31.0|2.0|7.0||||||plur|||past|tran||perf||||indc|||||1|1.0
32|цена|цены|цены|NOUN|32.0|2.0|8.0|||||gent|sing|femn|inan|||||||||||||6|1.0
33|на|на|на|INTJ|33.0|2.0|9.0|BADW||||||||||||||||||||65|1.0
34|хрусталь|хрусталь|хрусталь|NOUN|34.0|2.0|10.0|||||nomn|sing|masc|inan|||||||||||||1|1.0
35|.|.|.|PNCT|35.0|2.0|11.0|PNCT||||||||||||||||||||157|1.0
36|добавил|добавил|Добавил|VERB|36.0|3.0|1.0||||||sing|masc||past|tran||perf||||indc|||||1|1.0
37|чертёж|чертежей|чертежей|NOUN|37.0|3.0|2.0|||||gent|plur|masc|inan|||||||||||||2|1.0
38|15/7/19|15/7/19|15/7/19|NUSR|38.0|3.0|3.0|NUSR||||||||||||||||||||1|1.0
39|всн|в самый низ|в самый низ|ABVR|39.0|3.0|4.0|oPNC|2.0|||||||||||||||||||1|1.0
40|в|в|в|NOUN|39.0|3.0|4.0|BADW||2.0||nomn|sing|masc|inan|||||||||Fixd|Abbr|||87|1.0
41|самый|самый|самый|ADJF|40.0|3.0|5.0|BADW||2.0||nomn|sing|masc|||||||||||Apro|||1|1.0
42|низ|низ|низ|NOUN|41.0|3.0|6.0|||2.0||nomn|sing|masc|inan|||||||||||||2|1.0
43|.|.|.|PNCT|42.0|3.0|7.0|PNCT||||||||||||||||||||157|1.0
44|ходовой|ходовая|Ходовая|ADJF|43.0|4.0|1.0|||||nomn|sing|femn||||||||||||||17|1.0
45|в|в|в|NOUN|44.0|4.0|2.0|BADW||||nomn|sing|masc|inan|||||||||Fixd|Abbr|||87|1.0
46|вид|виде|виде|NOUN|45.0|4.0|3.0|||||loc1|sing|masc|inan|||||||||||||4|1.0
47|полный|полного|полного|ADJF|46.0|4.0|4.0|||||gent|sing|masc|||||||||||Qual|||9|1.0
48|привод|привода|привода|NOUN|47.0|4.0|5.0|||||gent|sing|masc|inan|||||||||||||4|1.0
49|на|на|на|INTJ|48.0|4.0|6.0|BADW||||||||||||||||||||65|1.0
