|values
keyscount|236.0
Ukeyscount|65.0
Skeyscount|47.0
USkeyscount|15.0
Nkeyscount|140.0
UNkeyscount|23.0
partlangkeys|['NOUN', 'ADJF', 'NUSR', 'NAME', 'PRTF', 'ABVR', 'UPPR', 'TITL']
typeskeys|['SPEC', None, 'TITL', 'NUSR', 'NAME', 'UPPR']
inwhatsents|[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 41, 42, 43, 45, 46, 47, 48]
minkeyssent|1.0
maxkeyssent|15.0
meankeyssent|5.24
minrepeatkey|1.0
maxrepeatkeys|19.0
meanrepeatkey|7.19
allcolumnskey|['lemm', 'word', 'tword', 'partlang', 'pos', 'idsent', 'sentpos', 'tkey', 'count_word_sent', 'count_word_text', 'count_key_text']
keys-%|24.61
Ukeys-%|6.78
KUkeys-%|27.54
Skeys-%|4.9
Skeysofkeys-%|19.92
USkeysofUkeys-%|23.08
Nkeys-%|14.6
Nkeysofkeys-%|59.32
UNkeysofUkeys-%|35.38
