|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|numexpress|rdeco|count_key_text|count_word_sent
9|выуживающий|выуживающая|выуживающая|PRTF|10|2|3|WIQM|||1|1.0
12|текст|текста|текста|NOUN|13|2|6||||28|1.0
24|текст|текст|текст|NOUN|25|3|2||||28|2.0
26|текст|текст|текст|NOUN|27|3|4||||28|2.0
44|список|списка|списка|NOUN|45|3|22||||14|1.0
45|слово|слов|слов|NOUN|46|3|23||||34|1.0
49|список|список|список|NOUN|50|4|3||||14|1.0
50|слово|слов|слов|NOUN|51|4|4||||34|1.0
59|список|списка|списка|NOUN|60|5|8||||14|1.0
64|ключевой|ключевых|ключевых|ADJF|65|5|13||||11|1.0
65|слово|слов|слов|NOUN|66|5|14||||34|1.0
67|текст|тексту|тексту|NOUN|68|5|16||||28|1.0
82|анализ|анализа|анализа|NOUN|83|6|14||||8|1.0
83|статья|статьи|статьи|NOUN|84|6|15||||13|1.0
122|лень|лень|лень|NOUN|123|8|11|WIQM|||1|1.0
128|слово|слова|слова|NOUN|129|8|17||||34|1.0
136|статья|статью|статью|NOUN|137|9|7||||13|1.0
143|данные|данных|данных|NOUN|144|9|14||||11|1.0
145|результат|результата|результата|NOUN|146|9|16||||9|1.0
151|слово|слова|слова|NOUN|152|10|3||||34|2.0
154|ключевой|ключевые|ключевые|ADJF|155|10|6||||11|1.0
155|выражение|выражения|выражения|NOUN|156|10|7||||12|1.0
159|число|числе|числе|NOUN|160|10|11||||11|1.0
160|слово|слова|слова|NOUN|161|10|12||||34|2.0
162|список|список|список|NOUN|163|11|1||||14|1.0
163|ключевой|ключевых|ключевых|ADJF|164|11|2||||11|1.0
164|выражение|выражений|выражений|NOUN|165|11|3||||12|1.0
168|маркер|маркерами|маркерами|NOUN|169|11|7||||8|1.0
171|слово|слова|слова|NOUN|172|12|2||||34|1.0
172|текст|текста|текста|NOUN|173|12|3||||28|1.0
176|число|числе|числе|NOUN|177|12|7||||11|1.0
179|ключевой|ключевые|ключевые|ADJF|180|12|10||||11|1.0
194|слово|слово|слово|NOUN|195|13|2||||34|1.0
196|текст|тексте|тексте|NOUN|197|13|4||||28|2.0
205|текст|тексту|тексту|NOUN|206|13|13||||28|2.0
207|число|числу|числу|NOUN|208|13|15||||11|1.0
210|результат|результаты|Результаты|NOUN|211|14|1||||9|1.0
213|nrlpk|nrlpk|nrlpk|LATN|214|14|4|LATN|||13|2.0
214|nrlpk|natural russian language processing by the keys|Natural Russian Language Processing by the Keys|LATN|215|14|5|LATN|1||13|2.0
223|данные|данные|данные|NOUN|223|14|13||||11|1.0
226|анализ|анализа|анализа|NOUN|226|15|1||||8|1.0
227|текст|текстов|текстов|NOUN|227|15|2||||28|1.0
236|тестирование|тестирование|тестирование|NOUN|236|15|11||||8|1.0
243|впк|впк|ВПК|ABVR|243|15|18|SPEC|||3|2.0
245|впк|военно-промышленного комплекса|Военно-Промышленного Комплекса|NAME|245|15|20|NAME|2||3|2.0
246|военно-промышленного|военно-промышленного|Военно-Промышленного|DSNU|245|15|20|DSNU||2|1|1.0
247|комплекс|комплекса|Комплекса|NOUN|246|15|21|SPEC||2|1|1.0
258|online|online|online|ABVR|257|16|10|ABVR|||2|1.0
259|площадки|площадки|площадки|ABVR|258|16|11|ABVR|||1|1.0
279|online|online|online|LATN|278|17|19|LATN|||2|1.0
283|текст|текстов|текстов|NOUN|282|18|3||||28|1.0
284|ии|ии|ИИ|ABVR|283|18|4|ABVR|||1|1.0
286|качество|качество|Качество|NOUN|285|19|1||||13|1.0
293|статья|статью|статью|NOUN|292|20|6||||13|1.0
303|слово|словам|словам|NOUN|302|20|16||||34|1.0
310|качество|качества|качества|NOUN|309|20|23||||13|1.0
316|качество|качество|Качество|NOUN|315|21|1||||13|1.0
324|тестирование|тестировании|тестировании|NOUN|322|21|8||||8|1.0
326|статья|статьях|статьях|NOUN|324|21|10||||13|1.0
333|слово|слов|слов|NOUN|330|21|16|||4|34|1.0
338|качество|качеством|качеством|NOUN|335|22|4||||13|1.0
347|статья|статей|статей|NOUN|344|23|5||||13|1.0
351|тестирование|тестировании|тестировании|NOUN|348|23|9||||8|1.0
355|результат|результат|результат|NOUN|352|23|13||||9|1.0
358|анализ|анализа|анализа|NOUN|355|23|16||||8|1.0
363|качество|качества|качества|NOUN|360|24|4||||13|2.0
372|качество|качества|качества|NOUN|369|24|13||||13|2.0
387|тестирование|тестирования|тестирования|NOUN|384|26|3||||8|1.0
392|данные|данным|данным|NOUN|389|26|8||||11|1.0
420|статья|статье|статье|NOUN|417|27|12||||13|2.0
423|ключ|ключом|ключом|NOUN|420|27|15||||10|3.0
437|ключ|ключ|ключ|NOUN|434|27|29||||10|3.0
439|ключ|ключу|ключу|NOUN|436|27|31||||10|3.0
443|статья|статей|статей|NOUN|440|27|35||||13|2.0
447|список|списком|списком|NOUN|444|28|3||||14|1.0
448|статья|статей|статей|NOUN|445|28|4||||13|1.0
453|тестирование|тестирование|тестирование|NOUN|450|28|9||||8|1.0
457|результат|результатов|результатов|NOUN|454|28|13||||9|1.0
461|github|github|GitHub|LATN|458|28|17|LATN|||4|1.0
467|качество|качество|качество|NOUN|464|29|5||||13|1.0
468|результат|результата|результата|NOUN|465|29|6||||9|1.0
471|статья|статье|статье|NOUN|468|29|9||||13|1.0
477|reasons|reasons|Reasons|LATN|474|29|15|LATN|||1|1.0
479|github|github|GitHub|LATN|476|29|17|LATN|||4|1.0
483|результат|результаты|результаты|NOUN|480|30|3||||9|1.0
492|статья|статьи|статьи|NOUN|489|31|8||||13|1.0
499|данные|данных|данных|NOUN|495|31|14||||11|1.0
505|wc|words.csv|words.csv|LATN|501|33|1|LATN|||1|1.0
507|список|список|список|NOUN|503|33|3||||14|2.0
509|слово|слов|слов|NOUN|505|33|5||||34|1.0
512|список|список|список|NOUN|508|33|8||||14|2.0
517|kc|keys.csv|keys.csv|LATN|513|35|1|LATN|||1|1.0
519|список|список|список|NOUN|515|35|3||||14|1.0
520|ключевой|ключевых|ключевых|ADJF|516|35|4||||11|1.0
521|слово|слов|слов|NOUN|517|35|5||||34|2.0
528|выражение|выражений|выражений|NOUN|524|35|12||||12|1.0
531|слово|слова|слова|NOUN|527|35|15||||34|2.0
536|текст|тексту|тексту|NOUN|532|35|20||||28|1.0
540|число|числа|числа|NOUN|536|35|24||||11|1.0
554|gc|garbage.csv|garbage.csv|LATN|549|37|1|LATN|||1|1.0
556|список|список|список|NOUN|551|37|3||||14|1.0
558|слово|слов|слов|NOUN|553|37|5||||34|1.0
562|dc|descr_words.csv|descr_words.csv|LATN|557|39|1|LATN|||2|1.0
565|статистика|статистика|статистика|ABVR|560|39|4|ABVR|||4|1.0
567|список|списку|списку|NOUN|562|39|6||||14|1.0
569|слово|слов|слов|NOUN|564|39|8||||34|1.0
570|текст|текста|текста|NOUN|565|39|9||||28|1.0
574|dc|descr_keys.csv|descr_keys.csv|LATN|569|41|1|LATN|||2|1.0
577|статистика|статистика|статистика|ABVR|572|41|4|ABVR|||4|1.0
579|список|списку|списку|NOUN|574|41|6||||14|1.0
580|ключевой|ключевых|ключевых|ADJF|575|41|7||||11|1.0
581|слово|слов|слов|NOUN|576|41|8||||34|1.0
585|rt|reasons_quality.txt|reasons_quality.txt|LATN|580|43|1|LATN|||1|1.0
587|необязательный|необязательный|необязательный|ABVR|582|43|3|ABVR|||1|1.0
588|список|список|список|NOUN|583|43|4||||14|1.0
589|выражение|выражений|выражений|NOUN|584|43|5||||12|1.0
591|статья|статьи|статьи|NOUN|586|43|7||||13|1.0
599|ключ|ключи|ключи|NOUN|594|43|15||||10|1.0
604|пма|по мнению автора|по мнению автора|ABVR|599|43|20|ABVR|7||1|1.0
608|nrlpk|nrlpk|nrlpk|ABVR|602|43|23|ABVR|||13|1.0
618|legend|legend|Legend|LATN|612|44|9|LATN|||1|1.0
620|github|github|GitHub|LATN|614|44|11|LATN|||4|1.0
622|nrlpk|nrlpk|nrlpk|LATN|616|45|1|LATN|||13|1.0
627|данные|данных|данных|NOUN|621|45|6||||11|1.0
634|pd|pandas dataframe|Pandas DataFrame|LATN|628|46|1|LATN|8||2|1.0
637|пу|по умолчанию|по умолчанию|ABVR|630|46|3|ABVR|9||1|1.0
641|pd|python dictionary|Python Dictionary|LATN|633|47|1|LATN|10||2|1.0
645|json|json|JSON|LATN|636|48|1|LATN|||1|1.0
647|csv|csv|CSV|LATN|638|49|1|LATN|||1|1.0
651|тестирование|тестирования|тестирования|NOUN|642|50|2||||8|1.0
656|автоматический|автоматический|автоматический|ABVR|647|52|2|ABVR|||3|1.0
657|анализ|анализ|анализ|NOUN|648|52|3||||8|1.0
658|текст|текста|текста|NOUN|649|52|4||||28|1.0
663|глазками|глазками|глазками|ABVR|654|54|2|ABVR|||1|1.0
667|маркирование|маркирование|маркирование|ABVR|658|54|6|ABVR|||1|1.0
668|ключевой|ключевых|ключевых|ADJF|659|54|7||||11|2.0
669|выражение|выражений|выражений|NOUN|660|54|8||||12|2.0
673|список|списка|списка|NOUN|664|54|12||||14|2.0
674|ключевой|ключевых|ключевых|ADJF|665|54|13||||11|2.0
675|выражение|выражений|выражений|NOUN|666|54|14||||12|2.0
678|список|списком|списком|NOUN|669|54|17||||14|2.0
687|качество|качества|качества|NOUN|678|56|3||||13|1.0
689|число|число|число|NOUN|680|56|5||||11|3.0
692|выражение|выражений|выражений|NOUN|683|56|8||||12|1.0
696|ключ|ключи|ключи|NOUN|687|56|12||||10|1.0
698|число|число|число|NOUN|689|56|14||||11|3.0
699|слово|слов|слов|NOUN|690|56|15||||34|2.0
705|число|числу|числу|NOUN|696|56|21||||11|3.0
706|слово|слов|слов|NOUN|697|56|22||||34|2.0
708|текст|тексте|тексте|NOUN|699|56|24||||28|1.0
712|nrlpk|nrlpk|nrlpk|LATN|703|58|1|LATN|||13|1.0
715|python|python|Python|LATN|706|58|4|LATN|||2|1.0
725|nrlpk|nrlpk|nrlpk|LATN|716|59|8|LATN|||13|1.0
732|выражение|выражения|выражения|NOUN|723|60|2||||12|1.0
736|слово|слова|слова|NOUN|727|60|6||||34|2.0
738|слово|слова|слова|NOUN|729|60|8||||34|2.0
741|число|числе|числе|NOUN|732|60|11||||11|1.0
744|словарь|словаря|словаря|NOUN|735|61|2||||9|1.0
755|nltk|nltk|NLTK|LATN|746|62|7|LATN|||1|1.0
757|pymorphy2|pymorphy2|pymorphy2|LATN|748|62|9|LATN|||4|1.0
775|текст|текстов|текстов|NOUN|766|63|9||||28|1.0
777|сми|сми|СМИ|NOUN|768|63|11|UPPR|||1|1.0
787|впк|впк|ВПК|ABVR|778|63|21|SPEC|||3|1.0
789|впк.name|впк.name|ВПК.Name|TITL|780|63|23|TITL|||1|1.0
791|анализ|анализ|Анализ|NOUN|782|64|1||||8|1.0
797|данные|данных|данных|NOUN|788|65|3||||11|1.0
818|текст|текста|текста|NOUN|809|66|11||||28|1.0
832|статья|статей|статей|NOUN|822|66|24||||13|1.0
841|текст|текста|текста|NOUN|831|67|8||||28|2.0
853|текст|текста|текста|NOUN|843|67|20||||28|2.0
854|машина|машиной|машиной|NOUN|844|67|21|SPEC|||1|1.0
882|качество|качестве|качестве|NOUN|872|69|7||||13|1.0
887|данные|данными|данными|NOUN|877|69|12||||11|1.0
890|pandas|pandas|Pandas|LATN|880|69|15|LATN|||3|1.0
903|анализ|анализа|анализа|NOUN|893|70|2||||8|1.0
907|словарь|словарей|словарей|NOUN|897|70|6||||9|1.0
914|opencorpora|opencorpora|OpenCorpora|LATN|904|70|13|LATN|||1|1.0
917|слово|слову|слову|NOUN|907|70|16||||34|1.0
921|pymorphy2|pymorphy2|pymorphy2|LATN|911|70|20|LATN|||4|1.0
932|pandas|pandas|Pandas|LATN|922|71|10|LATN|||3|1.0
941|словарь|словари|словари|NOUN|931|72|5||||9|1.0
947|слово|слов|слов|NOUN|937|73|5||||34|1.0
950|слово|слова|слова|NOUN|940|74|2||||34|2.0
952|слово|слова|слова|NOUN|942|74|4||||34|2.0
956|анализ|анализа|анализа|NOUN|946|74|8||||8|1.0
957|текст|текста|текста|NOUN|947|74|9||||28|1.0
966|словарь|словарь|словарь|NOUN|956|75|3||||9|1.0
968|отраслевых|отраслевых|отраслевых|ABVR|958|75|5|ABVR|||1|1.0
969|слово|слов|слов|NOUN|959|75|6||||34|1.0
972|словарь|словарь|словарь|NOUN|962|76|2||||9|1.0
1006|отрасли/направлении|отрасли/направлении|отрасли/направлении|NAME|996|77|11|NAME|||1|1.0
1017|словарь|словарей|словарей|NOUN|1007|77|22||||9|1.0
1027|словарь|словари|словари|NOUN|1017|78|1||||9|1.0
1031|словарь|словари|словари|NOUN|1021|79|1||||9|1.0
1047|словарь|словарей|словарей|NOUN|1037|80|4||||9|1.0
1049|nrlpk|nrlpk|nrlpk|LATN|1039|80|6|LATN|||13|1.0
1051|pymorphy2|pymorphy2|pymorphy2|LATN|1041|80|8|LATN|||4|1.0
1059|граммем|граммем|граммем|ABVR|1049|80|16|ABVR|||1|1.0
1063|число|число|Число|NOUN|1053|81|1||||11|1.0
1064|маркер|маркеров|маркеров|NOUN|1054|81|2||||8|2.0
1065|нг|нестандартных граммем|нестандартных граммем|ABVR|1055|81|3|ABVR|12||2|1.0
1084|слово|слов|слов|NOUN|1072|81|20||||34|1.0
1087|маркер|маркера|маркера|NOUN|1075|81|23||||8|2.0
1099|маркер|маркеров|маркеров|NOUN|1087|82|3||||8|1.0
1100|нг|нестандартных граммем|нестандартных граммем|ABVR|1088|82|4|ABVR|14||2|1.0
1104|pymorphy2|pymorphy2|pymorphy2|LATN|1091|82|7|LATN|||4|1.0
1110|numb|numb|NUMB|LATN|1097|83|1|LATN|||2|1.0
1112|число|число|число|NOUN|1099|83|3||||11|1.0
1114|romn|romn|ROMN|LATN|1101|84|1|LATN|||2|1.0
1117|число|число|число|NOUN|1104|84|4||||11|1.0
1119|unkn|unkn|UNKN|LATN|1106|85|1|LATN|||1|1.0
1127|слово|слову|слову|NOUN|1114|86|2||||34|1.0
1130|выражение|выражений|выражений|NOUN|1117|86|5||||12|1.0
1134|данные|данные|данные|NOUN|1121|86|9||||11|1.0
1137|nrlpk|nrlpk|nrlpk|LATN|1124|86|12|LATN|||13|1.0
1140|numb|numb|NUMB|LATN|1127|86|15|LATN|||2|1.0
1142|romn|romn|ROMN|LATN|1129|86|17|LATN|||2|1.0
1146|маркер|маркеры|маркеры|NOUN|1133|86|21||||8|1.0
1148|nusr|nusr|NUSR|LATN|1135|87|1|LATN|||5|1.0
1150|выражение|выражение|выражение|NOUN|1137|87|3||||12|1.0
1156|данные|данных|данных|NOUN|1143|87|9||||11|1.0
1158|math|math|MATH|LATN|1145|88|1|LATN|||1|1.0
1160|выражение|выражение|выражение|NOUN|1147|88|3||||12|1.0
1167|ключевой|ключевое|ключевое|ADJF|1154|89|3||||11|1.0
1168|слово|слово|слово|NOUN|1155|89|4||||34|2.0
1173|слово|слов|слов|NOUN|1160|89|9||||34|2.0
1177|nusr|nusr|NUSR|LATN|1164|90|3|LATN|||5|1.0
1181|текст|тексте|тексте|NOUN|1168|91|3||||28|1.0
1191|ключевой|ключевое|ключевое|ADJF|1177|91|12||||11|1.0
1192|слово|слово|слово|NOUN|1178|91|13||||34|1.0
1205|nusr|nusr|NUSR|LATN|1190|91|25|LATN|||5|2.0
1207|маркер|маркером|маркером|NOUN|1192|91|27||||8|1.0
1208|nusr|nusr|NUSR|LATN|1193|91|28|LATN|||5|2.0
1214|текст|тексте|тексте|NOUN|1199|92|5||||28|1.0
1216|2ф2г|25 февраля 2020 года|25 февраля 2020 года|WIQM|1201|92|7|WIQM|17||3|3.0
1223|ключевой|ключевое|ключевое|ADJF|1207|92|13||||11|1.0
1224|слово|слово|слово|NOUN|1208|92|14||||34|1.0
1226|2ф2г|25 февраля 2020 года|25 февраля 2020 года|WIQM|1210|92|16|WIQM|18||3|3.0
1237|wiqm|wiqm|WIQM|LATN|1220|92|26|LATN|||2|2.0
1239|маркер|маркером|маркером|NOUN|1222|92|28||||8|1.0
1240|wiqm|wiqm|WIQM|LATN|1223|92|29|LATN|||2|2.0
1244|текст|тексте|тексте|NOUN|1227|93|3||||28|1.0
1253|ключ|ключе|ключе|NOUN|1235|93|11||||10|1.0
1256|2т|25 тонн|25 тонн|WIQM|1238|93|14|WIQM|20||2|2.0
1266|качество|качестве|качестве|NOUN|1247|93|23||||13|2.0
1268|качество|качестве|качестве|NOUN|1249|93|25||||13|2.0
1271|маркер|маркера|маркера|NOUN|1252|93|28||||8|1.0
1274|nusr|nusr|NUSR|LATN|1255|93|31|LATN|||5|1.0
1279|describe|describe|describe|LATN|1260|94|4|LATN|||1|1.0
1281|слово|словам|словам|NOUN|1262|94|6||||34|1.0
1283|ключ|ключам|ключам|NOUN|1264|94|8||||10|1.0
1293|nrlpk|nrlpk|nrlpk|LATN|1274|95|9|LATN|||13|1.0
1299|слово|слова|слова|NOUN|1280|95|15||||34|1.0
1309|ключ|ключей|ключей|NOUN|1290|95|25||||10|1.0
1311|текст|тексте|тексте|NOUN|1292|95|27||||28|1.0
1323|закономерность|закономерности|закономерности|NOUN|1304|96|9|WIQM|||1|1.0
1332|nrlpk|nrlpk|nrlpk|LATN|1313|96|18|LATN|||13|1.0
1337|слово|слов|слов|NOUN|1318|97|2||||34|1.0
1345|текст|текстов|текстов|NOUN|1326|98|2||||28|1.0
1350|b%|bad-%|bad-%|LATN|1331|98|7|LATN|||1|1.0
1357|результат|результате|результате|NOUN|1338|98|14||||9|1.0
1358|тестирование|тестирования|тестирования|NOUN|1339|98|15||||8|1.0
1362|узконаправленных|узконаправленных|узконаправленных|ABVR|1343|99|3|ABVR|||1|1.0
1364|чп|четко позиционирующих|четко позиционирующих|ABVR|1345|99|5|ABVR|21||1|1.0
1367|текст|текстов|текстов|NOUN|1347|99|7||||28|1.0
1369|s%|skeys-%|skeys-%|LATN|1349|99|9|LATN|||2|1.0
1375|ключ|ключей|ключей|NOUN|1354|99|14||||10|1.0
1380|результат|результате|результате|NOUN|1359|99|19||||9|1.0
1381|тестирование|тестирования|тестирования|NOUN|1360|99|20||||8|1.0
1384|текст|текстов|текстов|NOUN|1363|100|2||||28|1.0
1392|s%|skeys-%|skeys-%|LATN|1371|100|10|LATN|||2|1.0
1396|анализ|анализ|Анализ|NOUN|1375|101|1||||8|1.0
1409|текст|текстов|текстов|NOUN|1388|102|2||||28|1.0
1410|шо|широкого охвата|широкого охвата|WIQM|1389|102|3|WIQM|23||1|1.0
1414|k%|keys-%|keys-%|LATN|1392|102|6|LATN|||2|2.0
1418|u%|ukeys-%|ukeys-%|LATN|1396|102|10|LATN|||1|1.0
1421|k%|keys-%|keys-%|LATN|1399|102|13|LATN|||2|2.0
1429|nrlpk|nrlpk|nrlpk|LATN|1407|104|1|LATN|||13|1.0
1439|качество|качества|качества|NOUN|1417|104|11||||13|1.0
1442|текст|текстов|текстов|NOUN|1420|104|14||||28|1.0
1461|качество|качества|качества|NOUN|1439|105|12||||13|1.0
1463|стабилизация|стабилизации|стабилизации|NOUN|1441|105|14|SPEC|||1|1.0
1474|и/или|и/или|и/или|NAME|1452|106|8|NAME|||1|1.0
1486|ps|p.s|P.S|LATN|1464|107|1|LATN|||1|1.0
1491|текст|тексту|тексту|NOUN|1469|108|4||||28|1.0
1492|пн|приведены ниже|приведены ниже|ABVR|1470|108|5|ABVR|24||1|1.0
1497|nrlpk|nrlpk|nrlpk|LATN|1474|108|9|LATN|||13|1.0
1502|ключ|ключами|ключами|NOUN|1479|108|14||||10|1.0
1503|выражение|выражений|выражений|NOUN|1480|108|15||||12|1.0
