|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|numexpress|rdeco|count_key_text|count_word_sent
8|ни|наиболее известные|наиболее известные|ABVR|9|1|9|ABVR|1||1|1.0
13|python|python|python|LATN|13|1|13|LATN|||1|1.0
20|задача|задачу|задачу|NOUN|20|1|20||||8|1.0
45|русский|русский|русский|ADJF|45|3|10||||5|1.0
46|язык|язык|язык|NOUN|46|3|11||||5|1.0
51|русский|русский|русский|ADJF|51|4|4||||5|1.0
52|язык|язык|язык|NOUN|52|4|5||||5|1.0
55|ключевой|ключевая|ключевая|ADJF|55|4|8||||5|1.0
56|задача|задача|задача|NOUN|56|4|9||||8|1.0
60|анализ|анализ|анализ|NOUN|60|4|13||||5|1.0
65|русский|русский|русский|ADJF|65|5|4||||5|1.0
66|язык|язык|язык|NOUN|66|5|5||||5|1.0
69|ключевой|ключевая|ключевая|ADJF|69|5|8||||5|1.0
70|задача|задача|задача|NOUN|70|5|9||||8|1.0
96|наташа|наташу|Наташу|NOUN|96|6|11|TITL|||1|1.0
103|анализ|анализ|анализ|NOUN|103|7|6||||5|1.0
108|русский|русским|русским|ADJF|108|7|11||||5|1.0
109|язык|языком|языком|NOUN|109|7|12||||5|1.0
138|nltk|nltk|NLTK|LATN|138|8|19|LATN|||2|1.0
140|pymorhy2|pymorhy2|pymorhy2|LATN|140|8|21|LATN|||4|1.0
142|nltk|nltk|NLTK|LATN|142|9|1|LATN|||2|1.0
150|текст|текстов|текстов|NOUN|150|9|9||||5|1.0
152|русский|русском|русском|ADJF|152|9|11||||5|1.0
153|язык|языке|языке|NOUN|153|9|12||||5|1.0
155|pymorhy2|pymorhy2|pymorhy2|LATN|155|10|1|LATN|||4|1.0
163|задача|задачи|задачи|NOUN|163|11|5||||8|2.0
168|задача|задача|задача|NOUN|168|11|10||||8|2.0
171|ключевой|ключевых|ключевых|ADJF|171|11|13||||5|2.0
172|слово|слов|слов|NOUN|172|11|14||||4|2.0
174|анализ|анализа|анализа|NOUN|174|11|16||||5|1.0
181|слово|слов|слов|NOUN|181|11|23||||4|2.0
184|ключевой|ключевых|ключевых|ADJF|184|11|26||||5|2.0
188|слово|слова|слова|NOUN|188|12|2||||4|1.0
196|pymorhy2|pymorhy2|Pymorhy2|LATN|196|12|10|LATN|||4|1.0
199|unkn|unkn|UNKN|LATN|199|12|13|LATN|||2|1.0
209|pymorhy|pymorhy|pymorhy|LATN|209|12|23|LATN|||1|1.0
210|задача|задачи|задачи|NOUN|210|12|24||||8|1.0
219|задача|задачи|задачи|NOUN|219|13|4||||8|1.0
221|миг-29|миг-29|МиГ-29|DSNU|221|13|6|DSNU|||1|1.0
223|unkn|unkn|UNKN|LATN|223|13|8|LATN|||2|1.0
227|ключевой|ключевое|ключевое|ADJF|227|13|12||||5|1.0
228|слово|слово|слово|NOUN|228|13|13||||4|1.0
236|анализ|анализа|анализа|NOUN|236|13|21||||5|1.0
245|текст|тексте|тексте|NOUN|245|14|7||||5|1.0
249|nrlpk|nrlpk|nrlpk|LATN|249|14|11|LATN|||2|2.0
254|nrlpk|natural russian language processing by the keys|Natural Russian Language Processing by the Keys|LATN|254|14|16|LATN|2||2|2.0
267|текст|текст|текст|NOUN|266|15|5||||5|2.0
282|текст|текста|текста|NOUN|281|15|20||||5|2.0
297|машина|машина|машина|NOUN|296|16|6|SPEC|||1|1.0
299|увидел|увидела|увидела|VERB|298|16|8|WIQM|||1|1.0
308|lemm|lemm|lemm|LATN|307|16|17|LATN|||1|1.0
327|анализ|анализа|анализа|NOUN|326|17|11||||5|1.0
328|текст|текста|текста|NOUN|327|17|12||||5|1.0
342|pymorhy2|pymorhy2|pymorhy2|LATN|341|18|9|LATN|||4|1.0
356|задача|задачу|задачу|NOUN|355|20|11||||8|1.0
