|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|numexpress|rdeco|count_word_text|count_word_sent
0|в|в|В|NOUN|1|1|1|BADW|||8|1.0
1|сам|самом|самом|ADJF|2|1|2||||1|1.0
2|начало|начале|начале|NOUN|3|1|3||||1|1.0
3|работа|работы|работы|NOUN|4|1|4||||2|1.0
4|я|я|я|NPRO|5|1|5|BADW|||8|1.0
5|посмотрел|посмотрел|посмотрел|VERB|6|1|6||||1|1.0
6|на|на|на|PRCL|7|1|7|BADW|||6|1.0
7|существующий|существующие|существующие|ADJF|8|1|8||||1|1.0
8|ни|наиболее известные|наиболее известные|ABVR|9|1|9|ABVR|1||1|1.0
9|наиболее|наиболее|наиболее|ADVB|9|1|9|BADW||1|2|1.0
10|известный|известные|известные|ADJF|10|1|10|||1|1|1.0
11|пакет|пакеты|пакеты|NOUN|11|1|11||||2|1.0
12|под|под|под|PREP|12|1|12|BADW|||1|1.0
13|python|python|python|LATN|13|1|13|LATN|||1|1.0
14|,|,|,|PNCT|14|1|14|PNCT|||41|1.0
15|который|которые|которые|ADJF|15|1|15|BADW|||3|1.0
16|позволил|позволят|позволят|VERB|16|1|16||||1|1.0
17|или|или|или|CONJ|17|1|17|BADW|||2|1.0
18|помог|помогут|помогут|VERB|18|1|18||||1|1.0
19|решить|решить|решить|INFN|19|1|19||||1|1.0
20|задача|задачу|задачу|NOUN|20|1|20||||8|1.0
21|.|.|.|PNCT|21|1|21|PNCT|||20|1.0
22|вообще|вообще|Вообще|ADVB|22|2|1|BADW|||1|1.0
23|они|их|их|NPRO|23|2|2|BADW|||3|2.0
24|очень|очень|очень|ADVB|24|2|3|BADW|||2|1.0
25|много|много|много|ADVB|25|2|4|BADW|||1|1.0
26|,|,|,|PNCT|26|2|5|PNCT|||41|1.0
27|но|но|но|INTJ|27|2|6|BADW|||6|1.0
28|по|по|по|PREP|28|2|7|BADW|||4|1.0
29|больший|большей|большей|ADJF|29|2|8||||1|1.0
30|часть|части|части|NOUN|30|2|9||||1|1.0
31|они|они|они|NPRO|31|2|10|BADW|||3|2.0
32|разбился|разбились|разбились|VERB|32|2|11||||1|1.0
33|на|на|на|PRCL|33|2|12|BADW|||6|1.0
34|группа|группы|группы|NOUN|34|2|13||||1|1.0
35|.|.|.|PNCT|35|2|14|PNCT|||20|1.0
36|1|1|1|NUMB|36|3|1|NUMB|||1|1.0
37|,|,|,|PNCT|37|3|2|PNCT|||41|1.0
38|не|не|не|PRCL|38|3|3||||4|2.0
39|поддерживаю|поддерживают|поддерживают|VERB|39|3|4||||4|2.0
40|или|или|или|CONJ|40|3|5|BADW|||2|1.0
41|не|не|не|PRCL|41|3|6||||4|2.0
42|очень|очень|очень|ADVB|42|3|7|BADW|||2|1.0
43|хорошо|хорошо|хорошо|PRCL|43|3|8|BADW|||1|1.0
44|поддерживаю|поддерживают|поддерживают|VERB|44|3|9||||4|2.0
45|русский|русский|русский|ADJF|45|3|10||||5|1.0
46|язык|язык|язык|NOUN|46|3|11||||5|1.0
47|.|.|.|PNCT|47|3|12|PNCT|||20|1.0
48|2|2|2|NUMB|48|4|1|NUMB|||1|1.0
49|,|,|,|PNCT|49|4|2|PNCT|||41|3.0
50|поддерживаю|поддерживают|поддерживают|VERB|50|4|3||||4|1.0
51|русский|русский|русский|ADJF|51|4|4||||5|1.0
52|язык|язык|язык|NOUN|52|4|5||||5|1.0
53|,|,|,|PNCT|53|4|6|PNCT|||41|3.0
54|но|но|но|INTJ|54|4|7|BADW|||6|1.0
55|ключевой|ключевая|ключевая|ADJF|55|4|8||||5|1.0
56|задача|задача|задача|NOUN|56|4|9||||8|1.0
57|,|,|,|PNCT|57|4|10|PNCT|||41|3.0
58|качественный|качественный|качественный|ADJF|58|4|11||||1|1.0
59|морфологический|морфологический|морфологический|ADJF|59|4|12||||1|1.0
60|анализ|анализ|анализ|NOUN|60|4|13||||5|1.0
61|.|.|.|PNCT|61|4|14|PNCT|||20|1.0
62|3|3|3|NUMB|62|5|1|NUMB|||1|1.0
63|,|,|,|PNCT|63|5|2|PNCT|||41|6.0
64|поддерживаю|поддерживают|поддерживают|VERB|64|5|3||||4|1.0
65|русский|русский|русский|ADJF|65|5|4||||5|1.0
66|язык|язык|язык|NOUN|66|5|5||||5|1.0
67|,|,|,|PNCT|67|5|6|PNCT|||41|6.0
68|но|но|но|INTJ|68|5|7|BADW|||6|1.0
69|ключевой|ключевая|ключевая|ADJF|69|5|8||||5|1.0
70|задача|задача|задача|NOUN|70|5|9||||8|1.0
71|,|,|,|PNCT|71|5|10|PNCT|||41|6.0
72|выявление|выявление|выявление|NOUN|72|5|11||||2|1.0
73|ключ|ключей|ключей|NOUN|73|5|12||||2|1.0
74|заданный|заданной|заданной|ADJF|74|5|13||||1|1.0
75|,|,|,|PNCT|75|5|14|PNCT|||41|6.0
76|узкий|узкой|узкой|ADJF|76|5|15||||1|1.0
77|направленность|направленности|направленности|NOUN|77|5|16||||1|1.0
78|,|,|,|PNCT|78|5|17|PNCT|||41|6.0
79|в|в|в|NOUN|79|5|18|BADW|||8|1.0
80|ряд|ряде|ряде|NOUN|80|5|19||||1|1.0
81|случай|случаев|случаев|NOUN|81|5|20||||1|1.0
82|,|,|,|PNCT|82|5|21|PNCT|||41|6.0
83|через|через|через|PREP|83|5|22|BADW|||1|1.0
84|словарь|словари|словари|NOUN|84|5|23||||1|1.0
85|.|.|.|PNCT|85|5|24|PNCT|||20|1.0
86|по|по|По|PREP|86|6|1|BADW|||4|1.0
87|меря|мере|мере|NOUN|87|6|2||||1|1.0
88|поиск|поиска|поиска|NOUN|88|6|3||||1|1.0
89|и|и|и|PRCL|89|6|4|BADW|||13|2.0
90|выбор|выбора|выбора|NOUN|90|6|5||||3|1.0
91|я|я|я|NPRO|91|6|6|BADW|||8|1.0
92|естественно|естественно|естественно|CONJ|92|6|7|BADW|||1|1.0
93|вышел|вышел|вышел|VERB|93|6|8||||1|1.0
94|и|и|и|PRCL|94|6|9|BADW|||13|2.0
95|на|на|на|PRCL|95|6|10|BADW|||6|1.0
96|наташа|наташу|Наташу|NOUN|96|6|11|TITL|||1|1.0
97|.|.|.|PNCT|97|6|12|PNCT|||20|1.0
98|к|к|К|NOUN|98|7|1|BADW|||1|1.0
99|счастие|счастью|счастью|NOUN|99|7|2||||1|1.0
100|они|они|они|NPRO|100|7|3|BADW|||3|1.0
101|уже|уже|уже|PRCL|101|7|4|BADW|||2|1.0
102|сделал|сделали|сделали|VERB|102|7|5||||2|1.0
103|анализ|анализ|анализ|NOUN|103|7|6||||5|1.0
104|инструмент|инструментов|инструментов|NOUN|104|7|7||||1|1.0
105|по|по|по|PREP|105|7|8|BADW|||4|1.0
106|работа|работе|работе|NOUN|106|7|9||||2|1.0
107|с|с|с|NOUN|107|7|10|BADW|||3|2.0
108|русский|русским|русским|ADJF|108|7|11||||5|1.0
109|язык|языком|языком|NOUN|109|7|12||||5|1.0
110|,|,|,|PNCT|110|7|13|PNCT|||41|1.0
111|с|с|с|NOUN|111|7|14|BADW|||3|2.0
112|который|которым|которым|ADJF|112|7|15|BADW|||3|1.0
113|я|я|я|NPRO|113|7|16|BADW|||8|1.0
114|на|на|на|PRCL|114|7|17|BADW|||6|1.0
115|тот|тот|тот|ADJF|115|7|18|BADW|||3|1.0
116|момент|момент|момент|NOUN|116|7|19||||1|1.0
117|также|также|также|PRCL|117|7|20|BADW|||1|1.0
118|познакомился|познакомился|познакомился|VERB|118|7|21||||1|1.0
119|.|.|.|PNCT|119|7|22|PNCT|||20|1.0
120|в|в|В|NOUN|120|8|1|BADW|||8|2.0
121|итог|итоге|итоге|NOUN|121|8|2||||1|1.0
122|мой|мой|мой|ADJF|122|8|3|BADW|||3|1.0
123|выбор|выбор|выбор|NOUN|123|8|4||||3|1.0
124|остановился|остановился|остановился|VERB|124|8|5||||1|1.0
125|на|на|на|PRCL|125|8|6|BADW|||6|1.0
126|,|,|,|PNCT|126|8|7|PNCT|||41|3.0
127|как|как|как|ADVB|127|8|8|BADW|||1|1.0
128|я|мне|мне|NPRO|128|8|9|BADW|||8|1.0
129|кажется|кажется|кажется|CONJ|129|8|10|BADW|||1|1.0
130|,|,|,|PNCT|130|8|11|PNCT|||41|3.0
131|наиболее|наиболее|наиболее|ADVB|131|8|12|BADW|||2|1.0
132|сильный|сильных|сильных|ADJF|132|8|13||||1|1.0
133|пакет|пакетах|пакетах|NOUN|133|8|14||||2|1.0
134|в|в|в|NOUN|134|8|15|BADW|||8|2.0
135|этот|этой|этой|ADJF|135|8|16|BADW|||8|1.0
136|область|области|области|NOUN|136|8|17||||1|1.0
137|,|,|,|PNCT|137|8|18|PNCT|||41|3.0
138|nltk|nltk|NLTK|LATN|138|8|19|LATN|||2|1.0
139|и|и|и|PRCL|139|8|20|BADW|||13|1.0
140|pymorhy2|pymorhy2|pymorhy2|LATN|140|8|21|LATN|||4|1.0
141|.|.|.|PNCT|141|8|22|PNCT|||20|1.0
142|nltk|nltk|NLTK|LATN|142|9|1|LATN|||2|1.0
