|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|numexpress|rdeco|yotoe|case|plural|gender|animacy|cattimes|transitiv|sectransitiv|aspect|pers|catcomp|catcollat|catmood|catplural|refn|secrefn|f_sent|f_text
4|ключевое выражение|ключевой выражение|ключевые выражения|2GRM|4|1|4|nPNC|26.0||||||||||||||||||1.0|8
8|русский текст|текст русский|текста русском|2GRM|7|1|7|nPNC|34.0||||||||||||||||||1.0|3
11|русский язык|русский язык|русском языке|2GRM|9|1|9|nPNC|37.0||||||||||||||||||1.0|3
31|русский текст|текст русский|текста русском|2GRM|28|4|6|nPNC|35.0||||||||||||||||||1.0|3
34|русский язык|русский язык|русском языке|2GRM|30|4|8|nPNC|38.0||||||||||||||||||1.0|3
65|список слов|список слово|списка слов|2GRM|60|5|22|nPNC|40.0||||||||||||||||||1.0|6
71|список слов|список слово|список слов|2GRM|65|6|3|nPNC|41.0||||||||||||||||||1.0|6
87|ключевое слово|ключевой слово|ключевых слов|2GRM|80|7|13|nPNC|46.0||||||||||||||||||1.0|4
89|слово текста|слово текст|слов тексту|2GRM|81|7|14|nPNC|50.0||||||||||||||||||1.0|5
107|статья|статьи|статьи|NOUN|99|8|15|||||gent|sing|femn|inan||||||||||||1.0|13
146|лень|лень|лень|NOUN|138|10|11|WIQM||||nomn|sing|femn|inan||||||||||||1.0|1
160|статья|статью|статью|NOUN|152|11|7|||||accs|sing|femn|inan||||||||||||1.0|13
167|набор данных|набор данные|набор данных|2GRM|158|11|13|nPNC|55.0||||||||||||||||||1.0|3
177|ключевое слово|слово ключевой|слова ключевые|2GRM|167|12|3|nPNC|47.0||||||||||||||||||1.0|4
181|ключевое выражение|ключевой выражение|ключевые выражения|2GRM|170|12|6|nPNC|27.0||||||||||||||||||1.0|8
187|число слов|число слово|числе слова|2GRM|175|12|11|nPNC|58.0||||||||||||||||||1.0|4
189|список слов|слово список|слова список|2GRM|176|12|12|nPNC|42.0||||||||||||||||||1.0|6
192|ключевой список|список ключевой|список ключевых|2GRM|178|13|1|nPNC|62.0||||||||||||||||||1.0|4
194|ключевое выражение|ключевой выражение|ключевых выражений|2GRM|179|13|2|nPNC|28.0||||||||||||||||||1.0|8
203|слово текста|слово текст|слова текста|2GRM|187|14|2|nPNC|51.0||||||||||||||||||1.0|5
227|слово текста|слово текст|слово тексте|2GRM|210|15|2|nPNC|52.0||||||||||||||||||1.0|5
247|nrlpk|natural russian language processing by the keys|Natural Russian Language Processing by the Keys|LATN|230|16|5|LATN|1.0||||||||||||||||||2.0|13
260|анализ текста|анализ текст|анализа текстов|2GRM|241|17|1|nPNC|66.0||||||||||||||||||1.0|3
277|впк|впк|ВПК|NOUN|258|17|18|SPEC||||nomn|sing||anim||||||||||Name||2.0|3
279|впк|военно-промышленного комплекса|Военно-Промышленного Комплекса|NAME|260|17|20|NAME|2.0||||||||||||||||||2.0|3
292|online|online|online|ABVR|272|18|10|ABVR|||||||||||||||||||1.0|2
293|площадка|площадки|площадки|NOUN|273|18|11|ABVR||||gent|sing|femn|inan||||||||||||1.0|1
318|ии|ии|ИИ|NOUN|298|20|4|UPPR||||gent|sing|masc|inan|||||||||Fixd|Abbr||1.0|1
320|качество|качество|Качество|NOUN|300|21|1|||||nomn|sing|neut|inan||||||||||||1.0|13
327|статья|статью|статью|NOUN|307|22|6|||||accs|sing|femn|inan||||||||||||1.0|13
344|качество|качества|качества|NOUN|324|22|23|||||gent|sing|neut|inan||||||||||||1.0|13
350|качество|качество|Качество|NOUN|330|23|1|||||nomn|sing|neut|inan||||||||||||1.0|13
360|статья|статьях|статьях|NOUN|339|23|10||||||plur|femn|inan||||||||||||1.0|13
372|качество|качеством|качеством|NOUN|350|24|4||||||sing|neut|inan||||||||||||1.0|13
381|статья|статей|статей|NOUN|359|25|5|||||gent|plur|femn|inan||||||||||||1.0|13
386|тестирование результата|тестирование результат|тестировании результат|2GRM|363|25|9|nPNC|69.0||||||||||||||||||1.0|3
398|качество|качества|качества|NOUN|375|26|4|||||gent|sing|neut|inan||||||||||||2.0|13
407|качество|качества|качества|NOUN|384|26|13|||||gent|sing|neut|inan||||||||||||2.0|13
456|статья|статье|статье|NOUN|433|29|12|||||datv|sing|femn|inan||||||||||||2.0|13
479|статья|статей|статей|NOUN|456|29|35|||||gent|plur|femn|inan||||||||||||2.0|13
484|статья|статей|статей|NOUN|461|30|4|||||gent|plur|femn|inan||||||||||||1.0|13
504|качество|качество|качество|NOUN|481|31|5|||||nomn|sing|neut|inan||||||||||||1.0|13
508|статья|статье|статье|NOUN|485|31|9|||||datv|sing|femn|inan||||||||||||1.0|13
528|статья|статьи|статьи|NOUN|505|33|7|||||gent|sing|femn|inan||||||||||||1.0|13
535|набор данных|набор данные|набором данных|2GRM|510|33|12|nPNC|56.0||||||||||||||||||1.0|3
545|список слов|слово список|слов список|2GRM|519|34|5|nPNC|43.0||||||||||||||||||1.0|6
554|ключевой список|список ключевой|список ключевых|2GRM|527|35|3|nPNC|63.0||||||||||||||||||1.0|4
556|ключевое слово|ключевой слово|ключевых слов|2GRM|528|35|4|nPNC|48.0||||||||||||||||||1.0|4
565|выражение слов|выражение слово|выражений слова|2GRM|536|35|12|nPNC|72.0||||||||||||||||||1.0|3
592|список слов|список слово|список слов|2GRM|561|36|3|nPNC|44.0||||||||||||||||||1.0|6
599|статистик|статистика|статистика|NOUN|568|37|4|ABVR||||gent|sing|masc|anim||||||||||||1.0|2
604|слово текста|слово текст|слов текста|2GRM|572|37|8|nPNC|53.0||||||||||||||||||1.0|5
610|статистик|статистика|статистика|NOUN|578|38|4|ABVR||||gent|sing|masc|anim||||||||||||1.0|2
613|ключевой список|список ключевой|списку ключевых|2GRM|580|38|6|nPNC|64.0||||||||||||||||||1.0|4
615|ключевое слово|ключевой слово|ключевых слов|2GRM|581|38|7|nPNC|49.0||||||||||||||||||1.0|4
617|список слов|слово список|слов список|2GRM|582|38|8|nPNC|45.0||||||||||||||||||1.0|6
626|статья|статьи|статьи|NOUN|591|39|8|||||gent|sing|femn|inan||||||||||||1.0|13
633|попавший ключ|попавший ключ|попавших ключи|2GRM|597|39|14|nPNC|75.0||||||||||||||||||2.0|3
636|попавший ключ|ключ попавший|ключи попавших|2GRM|599|39|16|nPNC|76.0||||||||||||||||||2.0|3
641|мнение автора|по мнению автора|по мнению автора|ABVR|604|39|21|ABVR|7.0||||||||||||||||||1.0|1
645|nrlpk|nrlpk|nrlpk|ABVR|607|39|24|ABVR|||||||||||||||||||1.0|13
664|набор данных|набор данные|набор данных|2GRM|625|41|5|nPNC|57.0||||||||||||||||||1.0|3
672|pd|pandas dataframe|Pandas Dataframe|LATN|633|42|1|LATN|8.0||||||||||||||||||1.0|2
679|pd|python dictionary|Python Dictionary|LATN|638|43|1|LATN|10.0||||||||||||||||||1.0|2
694|анализ текста|анализ текст|анализ текста|2GRM|651|47|3|nPNC|67.0||||||||||||||||||1.0|3
698|глазок|глазками|глазками|NOUN|655|48|2|ABVR|||||plur|masc|inan||||||||||||1.0|1
702|маркирование|маркирование|маркирование|NOUN|659|48|6|ABVR||||nomn|sing|neut|inan||||||||||||1.0|1
704|ключевое выражение|ключевой выражение|ключевых выражений|2GRM|660|48|7|nPNC|29.0||||||||||||||||||2.0|8
710|ключевой список|список ключевой|списка ключевых|2GRM|665|48|12|nPNC|65.0||||||||||||||||||1.0|4
712|ключевое выражение|ключевой выражение|ключевых выражений|2GRM|666|48|13|nPNC|30.0||||||||||||||||||2.0|8
723|качество|качества|качества|NOUN|677|49|3|||||gent|sing|neut|inan||||||||||||1.0|13
731|попавший ключ|попавший ключ|попавших ключи|2GRM|684|49|10|nPNC|77.0||||||||||||||||||1.0|3
736|число слов|число слово|число слов|2GRM|688|49|14|nPNC|59.0||||||||||||||||||2.0|4
744|число слов|число слово|числу слов|2GRM|695|49|21|nPNC|60.0||||||||||||||||||2.0|4
746|слово текста|слово текст|слов тексте|2GRM|696|49|22|nPNC|54.0||||||||||||||||||1.0|5
772|выражение слов|выражение слово|выражения слова|2GRM|721|53|2|nPNC|73.0||||||||||||||||||1.0|3
779|число слов|слово число|слова числе|2GRM|727|53|8|nPNC|61.0||||||||||||||||||1.0|4
785|словарь|словаря|словаря|NOUN|733|54|2|||||gent|sing|masc|inan||||||||||||1.0|8
818|сми|сми|СМИ|NOUN|766|56|11|UPPR||||gent|plur||inan|||||||||Fixd|Abbr||1.0|1
828|впк|впк|ВПК|NOUN|776|56|21|SPEC||||nomn|sing||anim||||||||||Name||1.0|3
830|впк.name|впк.name|ВПК.Name|NOUN|778|56|23|NAME||||nomn|sing||anim||||||||||Name||1.0|1
873|статья|статей|статей|NOUN|820|59|24|||||gent|plur|femn|inan||||||||||||1.0|13
895|машина|машиной|машиной|NOUN|842|60|21|SPEC||||gent|sing|femn|anim|||||||||Sgtm|Surn||1.0|1
923|качество|качестве|качестве|NOUN|870|62|7||||||sing|neut|inan||||||||||||1.0|13
948|словарь|словарей|словарей|NOUN|895|63|6|||||gent|plur|masc|inan||||||||||||1.0|8
950|русский язык|русский язык|русского языка|2GRM|896|63|7|nPNC|39.0||||||||||||||||||1.0|3
982|словарь|словари|словари|NOUN|928|64|18|||||accs|plur|masc|inan||||||||||||1.0|8
998|анализ текста|анализ текст|анализа текста|2GRM|943|66|8|nPNC|68.0||||||||||||||||||1.0|3
1008|словарь|словарь|словарь|NOUN|953|67|3|||||accs|sing|masc|inan||||||||||||1.0|8
1014|словарь|словарь|словарь|NOUN|959|68|2|||||nomn|sing|masc|inan||||||||||||1.0|8
1059|словарь|словарей|словарей|NOUN|1004|69|22|||||gent|plur|masc|inan||||||||||||1.0|8
1069|словарь|словари|Словари|NOUN|1014|70|1|||||nomn|plur|masc|inan||||||||||||1.0|8
1087|словарь|словарей|словарей|NOUN|1032|71|4|||||gent|plur|masc|inan||||||||||||1.0|8
1105|нестандартная граммема|нестандартных граммем|нестандартных граммем|ABVR|1050|72|3|ABVR|12.0||||||||||||||||||1.0|2
1143|нестандартная граммема|нестандартных граммем|нестандартных граммем|ABVR|1086|73|4|ABVR|14.0||||||||||||||||||1.0|2
1171|выражение слов|слово выражение|слову выражений|2GRM|1112|77|2|nPNC|74.0||||||||||||||||||1.0|3
1212|ключевое выражение|ключевой выражение|ключевое выражение|2GRM|1152|80|3|nPNC|31.0||||||||||||||||||1.0|8
1231|февраль года|февраль год|февраля года|2GRM|1169|82|6|nPNC|78.0||||||||||||||||||2.0|4
1238|ключевое выражение|ключевой выражение|ключевое выражение|2GRM|1175|82|12|nPNC|32.0||||||||||||||||||1.0|8
1244|февраль года|февраль год|февраля года|2GRM|1179|82|16|nPNC|79.0||||||||||||||||||2.0|4
1253|граммема маркера|граммема маркер|граммемой маркером|2GRM|1187|82|24|nPNC|82.0||||||||||||||||||1.0|3
1268|февраль года|февраль год|февраля года|2GRM|1200|83|8|nPNC|80.0||||||||||||||||||2.0|4
1274|ключевое выражение|ключевой выражение|ключевое выражение|2GRM|1205|83|13|nPNC|33.0||||||||||||||||||1.0|8
1280|февраль года|февраль год|февраля года|2GRM|1209|83|17|nPNC|81.0||||||||||||||||||2.0|4
1289|граммема маркера|граммема маркер|граммемой маркером|2GRM|1217|83|25|nPNC|83.0||||||||||||||||||1.0|3
1319|качество|качестве|качестве|NOUN|1245|84|23||||||sing|neut|inan||||||||||||2.0|13
1321|качество|качестве|качестве|NOUN|1247|84|25||||||sing|neut|inan||||||||||||2.0|13
1323|граммема маркера|граммема маркер|граммемы маркера|2GRM|1248|84|26|nPNC|84.0||||||||||||||||||1.0|3
1375|закономерность|закономерности|закономерности|NOUN|1300|87|9|WIQM||||datv|sing|femn|inan||||||||||||1.0|1
1397|выявление текста|выявление текст|выявление текстов|2GRM|1321|89|1|nPNC|85.0||||||||||||||||||1.0|3
1411|тестирование результата|результат тестирование|результате тестирования|2GRM|1334|89|14|nPNC|70.0||||||||||||||||||1.0|3
1435|тестирование результата|результат тестирование|результате тестирования|2GRM|1355|90|19|nPNC|71.0||||||||||||||||||1.0|3
1439|выявление текста|выявление текст|выявление текстов|2GRM|1358|91|1|nPNC|86.0||||||||||||||||||1.0|3
1467|выявление текста|выявление текст|выявление текстов|2GRM|1385|93|1|nPNC|87.0||||||||||||||||||1.0|3
1469|широкий охват|широкого охвата|широкого охвата|WIQM|1387|93|3|WIQM|23.0||||||||||||||||||1.0|1
1498|качество|качества|качества|NOUN|1415|95|11|||||gent|sing|neut|inan||||||||||||1.0|13
1501|русский текст|русский текст|русских текстов|2GRM|1417|95|13|nPNC|36.0||||||||||||||||||1.0|3
1521|качество|качества|качества|NOUN|1437|96|12|||||gent|sing|neut|inan||||||||||||1.0|13
1523|стабилизация|стабилизации|стабилизации|NOUN|1439|96|14|SPEC||||gent|sing|femn|inan||||||||||||1.0|1
1555|хабре|хабре|Хабре|NOUN|1471|99|8|NAME||||nomn|sing||anim||||||||||Name||1.0|1
1598|статья|статьи|статьи|NOUN|1512|102|8|||||gent|sing|femn|inan||||||||||||1.0|13
