|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|numexpress|rdeco|yotoe|case|plural|gender|animacy|cattimes|transitiv|sectransitiv|aspect|pers|catcomp|catcollat|catmood|catplural|refn|secrefn|f_sent|f_text
0|задача|задача|Задача|NOUN|1|1|1|||||nomn|sing|femn|inan||||||||||||1.0|5
1|,|,|,|PNCT|2|1|2|PNCT|||||||||||||||||||1.0|141
2|извлечь|извлечь|извлечь|INFN|3|1|3||||||||||||perf||||||||1.0|1
4|ключевое выражение|ключевой выражение|ключевые выражения|2GRM|4|1|4|nPNC|26.0||||||||||||||||||1.0|8
3|ключевой|ключевые|ключевые|ADJF|4|1|4|||||nomn|plur||||||||||||||1.0|12
5|выражение|выражения|выражения|NOUN|5|1|5|||||gent|sing|neut|inan||||||||||||1.0|17
6|из|из|из|PREP|6|1|6|BADW|||||||||||||||||||1.0|14
8|русский текст|текст русский|текста русском|2GRM|7|1|7|nPNC|34.0||||||||||||||||||1.0|3
7|текст|текста|текста|NOUN|7|1|7|||||gent|sing|masc|inan||||||||||||1.0|30
9|на|на|на|INTJ|8|1|8|BADW|||||||||||||||||||1.0|17
11|русский язык|русский язык|русском языке|2GRM|9|1|9|nPNC|37.0||||||||||||||||||1.0|3
10|русский|русском|русском|ADJF|9|1|9||||||sing|masc|||||||||||Subx||1.0|4
12|язык|языке|языке|NOUN|10|1|10|||||loc1|sing|masc|inan||||||||||||1.0|3
13|.|.|.|PNCT|11|1|11|PNCT|||||||||||||||||||1.0|103
14|nlp|nlp|NLP|LATN|12|2|1|LATN|||||||||||||||||||1.0|1
15|на|на|на|INTJ|13|2|2|BADW|||||||||||||||||||1.0|17
16|python|python|Python|LATN|14|2|3|LATN|||||||||||||||||||1.0|3
17|.|.|.|PNCT|15|2|4|PNCT|||||||||||||||||||1.0|103
18|что|что|Что|ADVB|16|3|1|BADW|||||||||||||||||||1.0|9
19|было|было|было|PRCL|17|3|2|BADW|||||||||||||||||||1.0|2
20|нужен|нужно|нужно|ADJS|18|3|3||||||sing|neut|||||||||||Qual||1.0|2
21|в|в|в|NOUN|19|3|4|BADW||||nomn|sing|masc|inan|||||||||Fixd|Abbr||1.0|48
22|сам|самом|самом|ADJF|20|3|5||||||sing|neut|||||||||||Apro||1.0|1
23|начало|начале|начале|NOUN|21|3|6||||||sing|neut|inan||||||||||||1.0|1
24|.|.|.|PNCT|22|3|7|PNCT|||||||||||||||||||1.0|103
