|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|numexpress|rdeco|yotoe|case|plural|gender|animacy|cattimes|transitiv|sectransitiv|aspect|pers|catcomp|catcollat|catmood|catplural|refn|secrefn|f_text|f_sent
1|власть москвы|власти москвы|Власти Москвы|NAME|1|1|1|NAME|1.0||||||||||||||||||1|1.0
4|110 млрд|110 млрд|110 млрд|NUSR|4|1|4|NUSR|2.0||||||||||||||||||1|1.0
25|https://www.sobyanin.ru|https://www.sobyanin.ru/|https://www.sobyanin.ru/|CONW|24|2|8|CONW|||||||||||||||||||1|1.0
29|01.05|1 мая|1 мая|NUSR|28|2|12|NUSR|3.0||||||||||||||||||1|1.0
36|алтуфьевское шоссе д 51|алтуфьевское шоссе д 51|Алтуфьевское шоссе д 51|ADDR|33|3|3|ADDR|4.0||||||||||||||||||1|1.0
52|мпз|мпз|МПЗ|NOUN|49|3|19|ABVR|||||sing||inan|||||||||Fixd|Abbr||2|1.0
55|подпоручик кижей|подпоручик киже|Подпоручик Киже|NAME|51|4|1|NAME|5.0||||||||||||||||||1|1.0
59|ваз2107|ваз2107|ВАЗ2107|DSNU|55|4|5|DSNU|||||||||||||||||||1|1.0
62|ак47|ак47|АК47|DSNU|58|4|8|DSNU|||||||||||||||||||1|1.0
67|втб24|втб24|ВТБ24|DSNU|63|4|13|DSNU|||||||||||||||||||1|1.0
79|иванов костантин петрович|иванова костантипа петровича|Иванова Костантипа Петровича|NAME|74|5|5|NAME|6.0||||||||||||||||||1|1.0
84|10.01.1970|10 января 1970 года|10 января 1970 года|NUSR|79|5|10|NUSR|7.0||||||||||||||||||1|1.0
94|город санкт-петербург, ул крузенштерна, дом 5/1а|город санкт-петербург, ул крузенштерна, дом 5/1а|город Санкт-Петербург, ул Крузенштерна, дом 5/1А|ADDR|87|5|18|ADDR|8.0||||||||||||||||||1|1.0
100|8-000|8 000|8 000|NUSR|93|5|24|NUSR|9.0||||||||||||||||||1|1.0
107|00 копеек|00 копеек|00 копеек|NUSR|98|5|29|NUSR|11.0||||||||||||||||||1|1.0
115|рф|рф|РФ|NOUN|105|5|36|UPPR||||gent|sing|femn|inan|||||||||Fixd|Geox||1|1.0
120|мпз|мпз|МПЗ|NOUN|110|5|41|ABVR|||||sing||inan|||||||||Fixd|Abbr||2|1.0
133|мэра города сергея собянина|мэра города сергея собянина|мэра города Сергея Собянина|ADDR|122|6|6|ADDR|12.0||||||||||||||||||1|1.0
