|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|numexpress|rdeco|yotoe|case|plural|gender|animacy|cattimes|transitiv|sectransitiv|aspect|pers|catcomp|catcollat|catmood|catplural|refn|secrefn|f_text|f_sent
1|власть москвы|власти москвы|Власти Москвы|NAME|1|1|1|NAME|1.0||||||||||||||||||1|1.0
0|власть|власти|Власти|NOUN|1|1|1|TITL||1.0||gent|sing|femn|inan||||||||||||1|1.0
2|москва|москвы|Москвы|NOUN|2|1|2|TITL||1.0||gent|sing|femn|inan|||||||||Sgtm|Geox||1|1.0
3|выделил|выделили|выделили|VERB|3|1|3||||||plur|||past|tran||perf||||indc||||1|1.0
4|110 млрд|110 млрд|110 млрд|NUSR|4|1|4|NUSR|2.0||||||||||||||||||1|1.0
5|110|110|110|NUMB|4|1|4|NUMB||2.0|||||||||||||||||1|1.0
6|млрд|млрд|млрд|NOUN|5|1|5|||2.0||gent|sing|masc|inan|||||||||Fixd|Abbr||1|1.0
7|рубль|рублей|рублей|NOUN|6|1|6|||||gent|plur|masc|inan||||||||||||2|1.0
8|на|на|на|INTJ|7|1|7|BADW|||||||||||||||||||2|1.0
9|поддержка|поддержку|поддержку|NOUN|8|1|8|||||accs|sing|femn|inan||||||||||||1|1.0
10|население|населения|населения|NOUN|9|1|9|||||gent|sing|neut|inan||||||||||||1|1.0
11|,|,|,|PNCT|10|1|10|PNCT|||||||||||||||||||8|1.0
12|система|системы|системы|NOUN|11|1|11|||||gent|sing|femn|inan||||||||||||1|1.0
13|здравоохранение|здравоохранения|здравоохранения|NOUN|12|1|12|||||gent|sing|neut|inan||||||||||||1|1.0
14|и|и|и|CONJ|13|1|13|BADW|||||||||||||||||||2|1.0
15|городской|городского|городского|ADJF|14|1|14|||||gent|sing|neut|||||||||||||1|1.0
16|хозяйство|хозяйства|хозяйства|NOUN|15|1|15|||||gent|sing|neut|inan||||||||||||1|1.0
17|.|.|.|PNCT|16|1|16|PNCT|||||||||||||||||||6|1.0
18|о|об|Об|PREP|17|2|1|BADW||||||||||||||||||Vpre|1|1.0
19|этот|этом|этом|ADJF|18|2|2||||||sing|masc|||||||||||Apro|Anph|1|1.0
20|сообщаюсь|сообщается|сообщается|VERB|19|2|3||||||sing|||pres|intr||impf|3per|||indc||||1|1.0
21|на|на|на|INTJ|20|2|4|BADW|||||||||||||||||||2|1.0
22|сайт|сайте|сайте|NOUN|21|2|5||||||sing|masc|inan||||||||||||1|1.0
23|мэр|мэра|мэра|NOUN|22|2|6|||||gent|sing|masc|anim||||||||||||2|1.0
24|столица|столицы|столицы|NOUN|23|2|7|||||gent|sing|femn|inan||||||||||||1|1.0
25|https://www.sobyanin.ru|https://www.sobyanin.ru/|https://www.sobyanin.ru/|CONW|24|2|8|CONW|||||||||||||||||||1|1.0
26|в|в|в|NOUN|25|2|9|BADW||||nomn|sing|masc|inan|||||||||Fixd|Abbr||3|1.0
27|пятница|пятницу|пятницу|NOUN|26|2|10|||||accs|sing|femn|inan||||||||||||1|1.0
28|,|,|,|PNCT|27|2|11|PNCT|||||||||||||||||||8|1.0
29|01.05|1 мая|1 мая|NUSR|28|2|12|NUSR|3.0||||||||||||||||||1|1.0
30|1|1|1|NUMB|28|2|12|NUMB||3.0|||||||||||||||||1|1.0
31|май|мая|мая|NOUN|29|2|13|||3.0||gent|sing|masc|inan|||||||||Sgtm|||1|1.0
32|.|.|.|PNCT|30|2|14|PNCT|||||||||||||||||||6|1.0
33|по|по|По|NOUN|31|3|1|BADW||||nomn|sing|neut|inan|||||||||Fixd|Abbr||3|1.0
34|адрес|адресу|адресу|NOUN|32|3|2|||||datv|sing|masc|inan||||||||||||2|1.0
36|алтуфьевское шоссе д 51|алтуфьевское шоссе д 51|Алтуфьевское шоссе д 51|ADDR|33|3|3|ADDR|4.0||||||||||||||||||1|1.0
35|алтуфьевский|алтуфьевское|Алтуфьевское|ADJF|33|3|3|TITL||4.0||nomn|sing|neut|||||||||||||1|1.0
37|шоссе|шоссе|шоссе|NOUN|34|3|4|||4.0||nomn|sing|neut|inan|||||||||Fixd|||1|1.0
38|д|д|д|NOUN|35|3|5|BADW||4.0||nomn|sing|masc|inan|||||||||Fixd|Abbr||1|1.0
39|51|51|51|NUMB|36|3|6|NUMB||4.0|||||||||||||||||1|1.0
40|,|,|,|PNCT|37|3|7|PNCT|||||||||||||||||||8|4.0
41|основной|основной|основной|ADJF|38|3|8|||||nomn|sing|masc|||||||||||||1|1.0
42|вид|вид|вид|NOUN|39|3|9|||||nomn|sing|masc|inan||||||||||||1|1.0
43|разрешённый|разрешенного|разрешенного|PRTF|40|3|10||||1.0|gent|sing|masc||past|tran||perf|||pssv|||||1|1.0
44|использование|использования|использования|NOUN|41|3|11|||||gent|sing|neut|inan||||||||||||1|1.0
45|,|,|,|PNCT|42|3|12|PNCT|||||||||||||||||||8|4.0
