|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|count_word_sent|count_word_text|count_key_text
1|телми|телми|ТЕЛМИ|UPPR|2|1|2|UPPR|1.0|3|3
3|российский|российских|российских|ADJF|4|1|4||1.0|7|7
4|производитель|производителей|производителей|NOUN|5|1|5||1.0|6|6
6|оборудование|оборудования|оборудования|NOUN|7|1|7|SPEC|1.0|3|3
7|т8|т8|Т8|ABVR|8|1|8|ABVR|1.0|2|2
8|элтекс|элтекс|Элтекс|WIQM|9|1|9|WIQM|1.0|2|2
9|микран|микран|Микран|CLIV|11|1|11|CLIV|1.0|2|2
11|минпромторг|минпромторг|Минпромторг|TITL|13|1|13|TITL|1.0|1|1
17|рынок|рынке|рынке|NOUN|22|1|22||1.0|5|5
19|коммерсантъ|коммерсантъ|Коммерсантъ|NOUN|26|2|4|CLIV|1.0|1|1
29|российский|российских|российских|ADJF|42|3|11||2.0|7|7
30|производитель|производителей|производителей|NOUN|43|3|12||2.0|6|6
32|рынок|рынке|рынке|NOUN|46|3|15||2.0|5|5
34|6-8%|6-8%|6-8%|NUSR|48|3|17|NUSR|1.0|1|1
38|90%|90%|90%|NUSR|58|3|27|NUSR|1.0|1|1
41|производитель|производителей|производителей|NOUN|62|3|31||2.0|6|6
42|huawei|huawei|Huawei|ABVR|63|3|32|ABVR|1.0|1|1
43|zte|zte|ZTE|ABVR|64|3|33|ABVR|1.0|1|1
44|ид|и др|и др|ABVR|65|3|34|ABVR|1.0|1|1
45|10%|10%|10%|NUSR|68|3|37|NUSR|1.0|1|1
47|juniper|juniper|Juniper|ABVR|71|3|40|ABVR|1.0|1|1
48|cisco|cisco|Cisco|ABVR|72|3|41|ABVR|1.0|1|1
49|nokia|nokia|Nokia|ABVR|73|3|42|ABVR|1.0|1|1
51|92-94%|92-94%|92-94%|NUSR|75|3|44|NUSR|1.0|1|1
52|российский|российского|российского|ADJF|76|3|45||2.0|7|7
53|рынок|рынка|рынка|NOUN|77|3|46||2.0|5|5
64|25-30%|25-30%|25-30%|NUSR|91|4|13|NUSR|1.0|1|1
66|оборудование|оборудования|оборудования|NOUN|94|4|16|SPEC|1.0|3|3
67|российский|российского|российского|ADJF|95|4|17||1.0|7|7
70|телми|телми|ТЕЛМИ|UPPR|101|5|5|UPPR|1.0|3|3
85|оборудование|оборудования|оборудования|NOUN|123|6|11|SPEC|1.0|3|3
89|российский|российских|российских|ADJF|130|6|18||1.0|7|7
90|производитель|производителей|производителей|NOUN|131|6|19||1.0|6|6
95|производитель|производителя|производителя|NOUN|138|7|7||1.0|6|6
104|цб|цб|ЦБ|NOUN|149|7|18|UPPR|1.0|1|1
105|сбербанк|сбербанком|Сбербанком|NOUN|150|7|19|TITL|1.0|1|1
106|ржд|ржд|РЖД|NOUN|151|7|20|UPPR|1.0|1|1
107|газпром|газпромом|Газпромом|NOUN|152|7|21|WIQM|1.0|1|1
108|роснефть|роснефтью|Роснефтью|NOUN|153|7|22|WIQM|1.0|1|1
116|российский|российские|российские|ADJF|162|7|31||1.0|7|7
125|россия|россии|России|NOUN|174|7|43|SPEC|1.0|1|1
129|российский|российские|российские|ADJF|180|8|4||1.0|7|7
130|производитель|производители|производители|NOUN|181|8|5||1.0|6|6
136|рынок|рынке|рынке|NOUN|188|8|12||2.0|5|5
137|до 30%|до 30%|до 30%|NUSR|189|8|13|NUSR|1.0|1|1
144|рынок|рынки|рынки|NOUN|200|8|24||2.0|5|5
145|минпромторге|минпромторге|Минпромторге|TITL|202|9|2|TITL|1.0|1|1
149|телми|телми|ТЕЛМИ|UPPR|207|9|7|UPPR|1.0|3|3
151|бииу|будут изучены и учтены|будут изучены и учтены|WIQM|210|9|10|WIQM|1.0|1|1
152|т8|т8|Т8|ABVR|212|10|2|ABVR|1.0|2|2
153|элтекс|элтекс|Элтекс|WIQM|213|10|3|WIQM|1.0|2|2
154|микран|микран|Микран|CLIV|215|10|5|CLIV|1.0|2|2
